Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING JULY TO SEPTEMBER, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,ICICI BANK LTD.,Baharain,VIKASH SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",3.32,0.05,
2,TARA INDIA FUND IV TRUST,Belgium,The Federal Holding And Investment Compa,MUMBAI,"Trusts, funds and other financial vehicles",21.67,0.34,
3,TARA INDIA FUND IV TRUST,Belgium,Agence Wallonne A L'exportation Et Aux I,MUMBAI,"Trusts, funds and other financial vehicles",0.79,0.01,
4,TARA INDIA FUND IV TRUST,Belgium,SOCIETE REGIONALE D'INVESTISSEMENT DE WA,MUMBAI,"Trusts, funds and other financial vehicles",4.63,0.07,
5,INDUS CONCESSIONS INDIA PVT LTD (ISOLUX,Cyprus,isolux corsan concessions cyprus limited,NEW DELHI,Management consultancy activities,"1,897.92",29.83,
6,INDUS CONCESSIONS INDIA PVT LTD (ISOLUX,Cyprus,ISOLUX CORSAN CONCESSIONS CYPRUS LIMITED,NEW DELHI,Management consultancy activities,302.88,4.65,
7,INDUS CONCESSIONS INDIA PVT LTD (ISOLUX,Cyprus,ISOLUX CORSAN CONCESSIONS CYPRUS LIMITED,NEW DELHI,Management consultancy activities,42.56,0.65,
8,ALSTOM BHARAT FORGE POWER LTD,France,Alstom Power Holdings SA,NEW DELHI,"Manufacture of engines and
turbines, except aircraft, vehicle and cycle engines",765.00,12.02,
9,ALSTOM BHARAT FORGE POWER LTD,France,Alstom Power Holding SA,NEW DELHI,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",71.05,1.12,
10,ACME SOLAR ENERGY PRIVATE LIMITED,France,EDF EN India SAS,NEW DELHI,Electric power generation using solar energy,192.40,3.02,
11,BHARTI AXA GENERAL INSURANCE COMPANY LTD,France,SOCIETE BEAUJON,BANGALORE,Non-life insurance,131.61,2.02,
12,BHARTI AXA GENERAL INSURANCE COMPANY LTD,France,SOCIETE BEAUJON,BANGALORE,Non-life insurance,45.47,0.70,
13,ALSTOM BHARAT FORGE POWER LTD,France,Alstom Power Holdings SA,NEW DELHI,"Manufacture of engines and turbines, except aircraft, vehicle
and cycle engines",5.96,0.09,
14,VOGEL BUSINESS MEDIA INDIA PVT LTD,Germany,Vogel GmBH,MUMBAI,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc.",4.83,0.07,
15,NSK INDIA SALES COMPANY PRIVATE LTD,Japan,NSK Ltd,CHENNAI,"Wholesale of transport equipment except motor vehicles, motorcycles
and bicycles",99.80,1.57,
16,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Luxembourg,"European initiative on clean energy, etc",NEW DELHI,Activities of holding companies,193.70,3.04,
17,ACME SOLAR ENERGY PRIVATE LIMITED,Luxembourg,EREN India SARL,NEW DELHI,Electric power generation using solar energy,177.60,2.79,
18,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Luxembourg,Global Energy Efficiency and Renewable E,NEW DELHI,Activities of holding companies,193.70,2.93,
19,CNI ENTERPRISES (INDIA) PVT. LTD.,Malaysia,CNI CORPORATION SDN BHD,BANGALORE,Other information service activities n.e.c.,2.21,0.03,
20,AMRI INDIA PVT LTD,Mauritius,Albany Molecular Research Mauritius Pvt,MUMBAI,"Manufacture of medicinal substances used in the
manufacture of pharmaceuticals: antibiotics, endocrine",201.84,3.10,
21,FOX STAR STUDIOS INDIA PVT LTD,Mauritius,FOX STAR STUDIOS HOLDINGS LTD,MUMBAI,Production of motion picture,"1,908.00",29.32,
22,FIELD FRESH FOODS PVT. LTD.,Mauritius,DMPL INDIA LIMITED,NEW DELHI,Growing of other cereals,40.00,0.63,
23,HINDUJA ENERGY INDIA LTD,Mauritius,HINDUJA POWER LTD,MUMBAI,Electric power generation by coal,81.50,1.28,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
