Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
DURING JULY TO SEPTEMBER, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,SABLE37 SYSTEMS INDIA PRIVATE LIMITED,Australia,SABLE SYSTEMS PTY LTD,NEW DELHI,Providing software support and maintenance to the clients,1.50,0.02,
2,GRM VENTURES TRADING PVT LTD,Australia,Gabrielle Munzer,MUMBAI,Other non-specialised wholesale trade n.e.c.,2.25,0.04,
3,GRT INDIA PVT LTD (PEARLS GRT PVT LTD),Australia,wharton james Holdings Pty Ltd,MUMBAI,Manufacture of polymer/ synthetic / PVC water storage tanks,9.52,0.15,
4,STAYWELL HOSPITALITY MANAGEMENT PVT LTD,Australia,Staywell Hospitality Management Pte Ltd,NEW DELHI,Management consultancy activities,0.97,0.02,
5,NIIT TECHNOLOGIES LTD,Australia,AMAL KUMAR BANERJEE,NEW DELHI,Providing software support and maintenance to the clients,0.10,0.00,
6,AUSCRIPT SERVICES PVT LTD.,Australia,AUSCRIPT GROUP PTY LTD,AHMEDABAD,Activities of professional membership organizations,0.10,0.00,
7,LINFOX LOGISTICS (INDIA) PVT. LTD.,Australia,LINFOX INTERNATIONAL GROUP PTY LTD,MUMBAI,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture,",236.75,3.64,
8,DELTA BIOPHARMA PVT LTD,Australia,CHANDER MOHAN KHANNA,MUMBAI,Manufacture of other pharmaceutical and botanical products n.e.c. like hina powder etc.,28.45,0.44,
9,DELTA BIOPHARMA PVT LTD,Australia,RITA KHANNA,MUMBAI,Manufacture of other pharmaceutical and botanical products n.e.c. like hina powder etc.,10.00,0.15,
10,LINFOX LOGISTICS (INDIA) PVT. LTD.,Australia,LINFOX INTERNATIONAL GROUP PTY LTD,MUMBAI,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture,",130.19,2.00,
11,LINFOX LOGISTICS (INDIA) PVT. LTD.,Australia,LINFOX INTERNATIONAL GROUP PTY LTD,MUMBAI,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture,",150.00,2.31,
12,DELTA BIOPHARMA PVT LTD,Australia,CHANDER MOHAN KHANNA,MUMBAI,Manufacture of other pharmaceutical and botanical products n.e.c. like hina powder etc.,37.83,0.58,
13,BASSEIN INFRA PROECTS PVT LTD,Australia,JOSHUA CHITTICK,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,0.05,0.00,
14,CHROMAFLO TECHNOLOGIES INDIA PVT LTD,Australia,Chromaflo Technologies Australia Pty. Lt,MUMBAI,"Manufacture of prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels and glazes",12.58,0.19,
15,LINFOX LOGISTICS (INDIA) PVT. LTD.,Australia,LINFOX INTERNATIONAL GROUP PTY LTD,MUMBAI,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture,",8.06,0.12,
16,INDO GOLD RESOURCES PVT LTD,Australia,INDO GOLD LIMITED,NEW DELHI,Support activities for other mining and quarrying,1.37,0.02,
17,BOVIS LEND LEASE INDIA PRIVATE LIMITED,Australia,LEND LEASE INTERNATIONAL PTY LIMITED,BANGALORE,Construction of buildings carried out on own-account basis or on a fee or contract basis,14.42,0.22,
18,MJR SPORTS CONSULTANTS PVT. LTD.,Australia,CJLSR Capital Pty Ltd Atf The Reidy Fami,KANPUR,Other sports activities,1.67,0.03,
19,ADEA POWER QUIPS (P) LTD,Australia,ADEA POWER CONSULTING PTY. LTD.,KOLKATA,Manufacture of other electrical equipment,6.47,0.10,
20,SKYPASS ENTERTAINMENT INDIA PVT LTD,Australia,JOURNEY FILMS PVT LTD,MUMBAI,Production of motion picture,0.02,0.00,
21,STAYWELL HOSPITALITY MANAGEMENT PVT LTD,Australia,STAYWELL HOSPITALITY MANAGEMENT PTE LIMI,NEW DELHI,Management consultancy activities,4.72,0.07,
22,SFI INDIA PRIVATE LIMITED,Australia,SFI INDIA HOLDINGS PTY LIMITED,NEW DELHI,Manufacture of other pharmaceutical and botanical products n.e.c. like hina powder etc.,0.11,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
23,IGI-3R HOSPITALITY PRIVATE LIMITED,Australia,3R Hospitality Private Limited,KOLKATA,Management consultancy activities,0.44,0.01,
24,FIDELIA SYSTEMS INDIA PRIVATE LIMITED,Australia,FIDELIA SYSTEMS (AUSTRALIA) PTY LIMITED,NEW DELHI,"Other data processing, hosting and related activities n.e.c.",0.26,0.00,
25,FIDELIA SYSTEMS INDIA PRIVATE LIMITED,Australia,FIDELIA SYSTEMS (AUSTRALIA) PTY LIMITED,NEW DELHI,"Other data processing, hosting and related activities n.e.c.",0.26,0.00,
26,FORUM INDIA LEARNING SOLUTIONS PVT LTD,Australia,Viaje Consultancy Pty Ltd,NEW DELHI,Other educational services n.e.c.,1.13,0.02,
27,MJR SPORTS CONSULTANTS PVT. LTD.,Australia,LSE Capital Pty Ltd. Atf Wightman Family,KANPUR,Other sports activities,1.67,0.03,
28,IVISUALIZE TECHNOLOGIES PVT LTD,Australia,VARUN BAHREE,NEW DELHI,Providing software support and maintenance to the clients,0.03,0.00,
29,PRIMO FOODS PRIVATE LTD.,Australia,DJGMEATINC PTY LTD,NEW DELHI,"Production, processing and preserving of other meat and meat products n.e.c.",1.85,0.03,
30,PRIMO FOODS PRIVATE LTD.,Australia,FAYMEN INTERNATIONAL PTY LTD,NEW DELHI,"Production, processing and preserving of other meat and meat products n.e.c.",3.29,0.05,
31,BENGAL EXPLORATION INDIA PVT LTD,Australia,BENGAL MINERALS PTY LIMITED,NEW DELHI,Support activities for other mining and quarrying,0.82,0.01,
32,NEXTBYTE TECHNOLOGY PVT LTD,Australia,XIA Nominee Pty. Ltd.,NEW DELHI,Providing software support and maintenance to the clients,1.00,0.02,
33,OGM TECHNICAL INSTITUTE INDIA PRIVATE LI,Australia,OGM technical Institute pty ltd,NEW DELHI,Higher education in other professional/ vocational courses leading to a degree or equivalent,4.90,0.07,
34,APPLIED SOLAR TECHNOLOGIES (INDIA) PRIVA,Australia,The northern Trust Company,NEW DELHI,Electric power generation using solar energy,"1,860.01",28.09,
35,GSOFT SERVICES PRIVATE LIMITED,Australia,VIVEK RAMAKRISHNA,BANGALORE,Research and experimental development on natural sciences and engineering,0.05,0.00,
36,GSOFT SERVICES PRIVATE LIMITED,Australia,TONY IAN NICOL,BANGALORE,Research and experimental development on natural sciences and engineering,0.40,0.01,
37,GSOFT SERVICES PRIVATE LIMITED,Australia,DAMIEN PAUL COUCH,BANGALORE,Research and experimental development on natural sciences and engineering,0.05,0.00,
38,BRILLIANT WELLNESS PRIVATE LIMITED,Australia,AMIT TAPPOO,NEW DELHI,Radio broadcasting,2.50,0.04,
39,STUDY OVERSEAS GLOBAL PVT LTD,Australia,Navitas Ltd.,NEW DELHI,Educational support services,0.00,0.00,
40,GEOMYSORE SERVICES (INDIA) PVT LTD,Australia,AUSTRALIAN INDIAN RESOURCES LIMITED,NEW DELHI,"Mining of precious metal ore (gold, silver)",33.61,0.51,
41,REEFER CARE SERVICES PRIVATE LIMITED,Australia,CM PACIFIC PTY LTD,CHENNAI,"Repair and maintenance of metal tanks, reservoirs, containers, steel shipping drums etc.",2.79,0.04,
42,ADEA POWER QUIPS (P) LTD,Australia,ADEA POWER CONSULTING PTY. LTD.,KOLKATA,Manufacture of other electrical equipment,4.63,0.07,
43,NEXTBYTE TECHNOLOGY PVT LTD,Australia,XIA NOMINEE PTY LTD,NEW DELHI,Providing software support and maintenance to the clients,0.00,0.00,
44,FIRST IMPRESSIONS RESOURCES PVT LTD,Australia,FIRST IMPRESSIONS RESOURCES PTY LTD,NEW DELHI,Technical and vocational education for handicapped students below the level of higher education,4.34,0.07,
45,DMT TECHNOLOGY PVT. LTD.,Austria,DMT TECHNOLOGY GMBH,AHMEDABAD,Repair of consumer electronics,0.90,0.01,
46,DOUBRAVA POLYTECH (INDIA) PVT. LTD.,Austria,DOUBRAVA GMBH,AHMEDABAD,Manufacture of rubber conveyor or transmission belts or belting,0.67,0.01,
47,W&H DENTAL INDIA PVT LTD,Austria,W&H DENTALWERK BORMOOS GMBH,NEW DELHI,Other non-specialised wholesale trade n.e.c.,1.20,0.02,
48,SAHARANPUR TESTING INSTRUMENTS PRIVATE L,Austria,ING Franz Silbermayr,NEW DELHI,"Manufacture of machinery for making paper pulp, paper, paperboard and articles of paper
board",1.38,0.02,
49,SAHARANPUR TESTING INSTRUMENTS PRIVATE L,Austria,ING Franz Silbermayr,NEW DELHI,"Manufacture of machinery for making paper pulp, paper, paperboard and articles of paper board",0.79,0.01,
50,SAHARANPUR TESTING INSTRUMENTS PRIVATE L,Austria,ING Franz Silbermayr,NEW DELHI,"Manufacture of machinery for making paper pulp, paper, paperboard and articles of paper board",5.64,0.09,
51,SAHARANPUR TESTING INSTRUMENTS PRIVATE L,Austria,ING Franz Silbermayr,NEW DELHI,"Manufacture of machinery for making paper pulp, paper, paperboard and articles of paper
board",6.40,0.10,
,,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
52,,,,,,(In Rs million),(In US$ million),
,BRUECKNER SEEBACH FILTER SOLUTIONS INDIA,Austria,BRUECKNER HOLDING GMBH,MUMBAI,Manufacture of other fabricated metal products n.e.c.,2.00,0.03,
53,AHT COOLING SYSTEMS INDIA PVT LTD,Austria,AHT Cooling Systems GmbH,NEW DELHI,Manufacture of other electronic consumer goods n.e.c. (this includes nontelevision video camera),0.10,0.00,
54,MJR SPORTS CONSULTANTS PVT. LTD.,Austria,BRADG AND VICKIG PTY LTD ATF GREEN FAMIL,KANPUR,Other sports activities,1.67,0.03,
55,Z&N SPORTS AND HEALTH MANAGEMENT PRIVATE,Austria,PHILIP WOLFGANG ZISCHKE,NEW DELHI,"Other human health activities
n.e.c. (including independent ambulance activities)",0.50,0.01,
56,Z&N SPORTS AND HEALTH MANAGEMENT PRIVATE,Austria,CHRISTINA NATTER,NEW DELHI,"Other human health activities
n.e.c. (including independent ambulance activities)",0.50,0.01,
57,VALE INDIA PVT LTD,Austria,Vale International Holdings Gmbh,NEW DELHI,Support activities for other mining and quarrying,0.00,0.00,
58,BRUECKNER SEEBACH FILTER SOLUTIONS INDIA,Austria,BRUECKNER HOLDINGS GMBH,MUMBAI,Manufacture of filtering and purifying machinery or apparatus for liquids and gases,0.10,0.00,
