Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING JULY TO SEPTEMBER, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,INVOLUTE TECHNOLOGIES PVT LTD,Belgium,IG WATTEEUW INTERNATIONAL NV,REGION NOT INDICATED,"DESIGNERS, MANUFACTURERS AND DISTRIBUTERS IN HIGH QUALITY GEARS",0.80,0.01,
2,CYTESPACE RESEARCH PVT LTD,South Africa,GILLIAN CORKEN,REGION NOT INDICATED,CLINICAL RESEARCH SERVICES,7.31,0.11,
3,SARVEJANA HEALTHCARE PVT LTD,Mauritius,INDIA LIFE SCIENCES FUND II LLC,REGION NOT INDICATED,HEALTH AND MEDICAL SERVICES,1.50,0.02,
4,MAHINDRA GEARS AND TRANSMISSIONS PVT LTD,Spain,"PARTICIPACIONES INTERNACIONALES
AUTOMETA",REGION NOT INDICATED,MANUFACTURE AND SUPPLY OF GEARS AND SHAFTS FOR AUTO AND NON AUTO APPLICATIONS,272.35,4.28,
5,KANNUR INTERNATIONAL AIRPORT LTD,Saudi Arabia,UMESH MEENATH,REGION NOT INDICATED,SUPPORTING SERVICE TO AIR TRANSPORT,0.05,0.00,
6,KANNUR INTERNATIONAL AIRPORT LTD,UAE,FAIZEL MELEPPATTU VALAPPIL,REGION NOT INDICATED,SUPPORTING SERVICE TO AIR TRANSPORT,0.20,0.00,
7,KANNUR INTERNATIONAL AIRPORT LTD,UAE,VIVEK KARUNAKARAN,REGION NOT INDICATED,SUPPORTING SERVICE TO AIR TRANSPORT,0.50,0.01,
8,KANNUR INTERNATIONAL AIRPORT LTD,Oman,ABOOBACKER C P,REGION NOT INDICATED,SUPPORTING SERVICE TO AIR TRANSPORT,0.20,0.00,
9,TATA PROJECTS LTD,Singapore,OMEGA TC HOLDINGS PTE LTD,REGION NOT INDICATED,EXECUTION OF LARGE AND COMPLEX INFRASTRUCTURE PROJECTS THROUGH STRATEGIC BUSINESS,519.35,7.84,
