Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING JUNE, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,VYONEESH ROSEBANK TECHNOLOGIES PVT LTD,Australia,Rosebsnk Engineering Pty Ltd,NEW DELHI,Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such,2.76,0.04,
2,VYONEESH ROSEBANK TECHNOLOGIES PVT LTD,Australia,Rosebank Technologies Pty Ltd,NEW DELHI,Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such,4.35,0.07,
3,VYONEESH ROSEBANK TECHNOLOGIES PVT LTD,Australia,Rosebsnk Engineering Pty Ltd,NEW DELHI,Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such,0.07,0.00,
4,ICICI BANK LTD.,Baharain,VIKASH SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",3.03,0.05,
5,ICICI BANK LTD.,Baharain,VIKASH SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",3.98,0.06,
6,ICICI BANK LTD.,Canada,HARI PANDEY,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",4.32,0.07,
7,OVIVO INDIA PVT LTD,Canada,OVIVO INC,MUMBAI,Manufacture of filtering and purifying machinery or apparatus for liquids and gases,30.17,0.47,
8,TV18 HOME SHOPING NETWORK PVT LTD,Cyprus,TV18 HSN Holdings limited,NEW DELHI,Radio broadcasting,333.19,5.22,
9,GIBA HOLDINGS PVT. LTD.,France,SOCIETE BEAUJON,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",191.17,2.99,
10,SHANTHA BIOTECNICS LIMITED,France,Sanofi Pasteur Merieux,HYDERABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine","1,994.70",31.24,
11,"BHARTI AXA GENERAL INSURANCE COMPANY
LTD",France,SOCIETE BEAUJON,BANGALORE,Non-life insurance,126.83,1.99,
12,TM HARBOUR SERVICES PVT LTD,Germany,TKM GLOBAL,KOLKATA,Service activities incidental to water transportation,256.79,4.02,
13,TM HARBOUR SERVICES PVT LTD,Germany,TKM GLOBAL,KOLKATA,Service activities incidental to water transportation,142.21,2.23,
14,TM HARBOUR SERVICES PVT LTD,Germany,TKM GLOBAL,KOLKATA,Service activities incidental to water transportation,9.93,0.16,
15,TM HARBOUR SERVICES PVT LTD,Germany,TKM GLOBAL,KOLKATA,Service activities incidental to water transportation,23.62,0.37,
16,TM HARBOUR SERVICES PVT LTD,Germany,TKM GLOBAL,KOLKATA,Service activities incidental to water transportation,68.61,1.07,
17,TM HARBOUR SERVICES PVT LTD,Germany,TKM GLOBAL,KOLKATA,Service activities incidental to water transportation,0.10,0.00,
18,WACOAL INDIA PVT LTD,HongKong,WACOAL INTERNATIONAL HONGKONG CO. LTD.,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",15.30,0.24,
19,ICICI BANK LTD.,HongKong,ANILC MUTHYA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.58,0.01,
20,ICICI BANK LTD.,HongKong,ANIL MUTHYA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.15,0.02,
21,ICICI BANK LTD.,HongKong,BHYJU KANAMKANDY,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.34,0.01,
22,ICICI BANK LTD.,HongKong,BHUJU KANAMKANDY,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings",0.47,0.01,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,bank and discount houses,,,
23,KUSAKABE INDIA PRIVATE LIMITED,Japan,Kusakabe Electric & Machinery,NEW DELHI,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel",124.99,1.96,
24,KUSAKABE INDIA PRIVATE LIMITED,Japan,Kusakabe Electric & Machinery,NEW DELHI,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel",5.01,0.08,
25,KUSAKABE INDIA PRIVATE LIMITED,Japan,Kusakabe Engineering co,NEW DELHI,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel",0.00,0.00,
26,MINDA FURUKAWA ELECTRIC PVT LTD,Japan,furukawa electric co ltd,NEW DELHI,Manufacture of motor vehicle engines,21.42,0.34,
27,MINDA FURUKAWA ELECTRIC PVT LTD,Japan,furukawa automotive systems inc,NEW DELHI,Manufacture of motor vehicle engines,14.28,0.22,
28,MINDA FURUKAWA ELECTRIC PVT LTD,Japan,furukawa electric co ltd,NEW DELHI,Manufacture of motor vehicle engines,42.84,0.67,
29,MINDA FURUKAWA ELECTRIC PVT LTD,Japan,furukawa automotive systems,NEW DELHI,Manufacture of motor vehicle engines,28.56,0.45,
30,NAGATA INDIA LIMITED,Japan,Nagata Auto Parts Co. Ltd.,NEW DELHI,Manufacture of metal-forming machinery and machine tools n.e.c,3.38,0.05,
31,KUSAKABE INDIA PRIVATE LIMITED,Japan,Kusakabe Engineering Company,NEW DELHI,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel",0.01,0.00,
32,AIRASIA (INDIA) PVT LTD,Malaysia,Airasia Investment Limited,MUMBAI,Passenger airways,200.00,3.13,
33,GETIT INFOSERVICES PVT LTD,Mauritius,Astro Entertainment Networks Limited,NEW DELHI,Operation of web sites that use a search engine to generate and maintain extensive databases of internet,"2,945.00",46.12,
34,ZOOROPA FOODS PVT LTD,Mauritius,Saif Partners India IV Limited,NEW DELHI,Activities of holding companies,95.01,1.49,
