Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE DURING JUNE, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,BABAJOB SERVICES PRIVATE LIMITED,Australia,SEEK INTERNATIONAL INVESTMENTS PTY LTD,BANGALORE,Other information technology and computer service activities n.e.c,623.43,9.76,
2,KOMAL AMIN EXPORTS PVT. LTD.,Australia,KETANKUMAR KANUBHAI PATEL,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,16.52,0.26,
3,SERVICE MASTER CLEAN LTD,Australia,SIS GROUP INTERNATIONAL HOLDINGS PTY LTD,PATNA,General cleaning of buildings,"1,431.60",22.42,
4,SK CONTRACTS PRIVATE LIMITED,Australia,Shiva International PTY Ltd.,NEW DELHI,Construction of buildings carried out on own- account basis or on a fee or contract basis,106.43,1.67,
5,NORFOLK MECHANICAL (INDIA) PVT LTD,Australia,"RCR
INFRASTRUCTURE  (CORPORATE) PTY LTD",MUMBAI,"Installation of heating systems (electric, gas and oil), furnaces, cooling towers, non- electric solar",15.50,0.24,
6,ELEPHANT ENERGY PRIVATE LIMITED,Australia,Andrew James Skidmore,NEW DELHI,Electric power generation using other non conventional sources,6.14,0.10,
7,BLUE MAMBA INTERNET MARKETING INDIA PVT,Australia,BLUE MUMBA INTERNET MARKETING PTY LTD,MUMBAI,Activities of call centres,0.28,0.00,
8,AGS WORLD TRANSPORT(I) LTD,Australia,AGS International Pty Ltd,MUMBAI,Cargo handling incidental to water transport,5.89,0.09,
9,AGS WORLD TRANSPORT(I) LTD,Australia,AGS World Transport Pty. Limited,MUMBAI,Cargo handling incidental to water transport,12.59,0.20,
10,AGS WORLD TRANSPORT(I) LTD,Australia,AGS World transport Pty Ltd,MUMBAI,Cargo handling incidental to water transport,0.69,0.01,
11,CHROMAFLO TECHNOLOGIES INDIA PVT LTD,Australia,CHROMAFLO TECHNOLOGIES AUSTRALIA PTY LTD,MUMBAI,"Manufacture of paints and varnishes, enamels or lacquers",12.32,0.19,
12,KINGSTON KONNECT (INDIA) PRIVATE LIMITED,Australia,KATAMAKANG PTY LTD,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,0.36,0.01,
13,RIFLEXIONS CONSULTING PRIVATE LIMITED,Australia,VIRAL SURESH TALATI,BANGALORE,Computer consultancy and computer facilities management activities,0.03,0.00,
14,NORFOLK MECHANICAL (INDIA) PVT LTD,Australia,RCR INFRASTRUCTURE (CORPORATE) LTD,MUMBAI,"Installation of heating systems (electric, gas and oil), furnaces, cooling towers, non- electric solar",1.25,0.02,
15,NIMBLE STORAGE INDIA PVT LTD,Australia,NIMBLE STORAGE AUSTRALIA PTY LTD,MUMBAI,Providing software support and maintenance to the clients,0.08,0.00,
16,ADSTREAM ADVERTISING SERVICES PVT LTD,Australia,Adstream Holdings Pty Ltd,MUMBAI,Advertising,1.70,0.03,
17,ADSTREAM ADVERTISING SERVICES PVT LTD,Australia,Adstream Holdings Pty Ltd,MUMBAI,Advertising,3.65,0.06,
18,TUV AUSTRIA INDIA PVT LTD,Austria,tuev austria holding ag,MUMBAI,"Other professional, scientific and technical activities n.e.c.",3.23,0.05,
19,TUV AUSTRIA INDIA PVT LTD,Austria,tuev austria holding ag,MUMBAI,"Other professional, scientific and technical activities n.e.c.",0.06,0.00,
20,PALFINGER CRANES INDIA P LTD.,Austria,PALFINGER AREA UNITS GMBH,CHENNAI,Manufacture of other lifting and handling equipment and parts thereof,6.82,0.11,
