Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING JUNE, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,HYDERABAD CHEMICAL LTD,Japan,NICHINO SERVICE CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATION FORMS.,0.06,0.00,
2,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATION FORMS.,10.13,0.16,
3,FRESENIUS KABI ONCOLOGY LTD,Singapore,FRESENIUS KABI (SINGAPORE) PTE LTD,"REGION
NOT INDICATED","RESEARCH, DEVELOPMENT,
PRODUCTION, MANUFACTURE, SALE, MARKETING, PROMOTION ETC..",0.07,0.00,
4,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,"REGION NOT
INDICATED","MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN
TECHNICAL AND FORMULATION FORMS.",29.79,0.47,
5,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATION FORMS.,221.70,3.47,
6,GREEN INFRA LTD,Singapore,NG MENG POH,REGION NOT INDICATED,CONSULTANCY SERVICES TO SUBSIDIARIES ON MANAGEMENT AND STRATEGIC ISSUES,0.01,0.00,
7,FRESENIUS KABI ONCOLOGY LTD,Singapore,FRESENIUS KABI (SINGAPORE) PTE LTD,REGION NOT INDICATED,"RESEARCH, DEVELOPMENT, PRODUCTION, MANUFACTURE, SALE, MARKETING ETC..",0.02,0.00,
8,ANI TECHNOLOGIES PVT LTD,Mauritius,APOLETTO ASIA LTD,REGION NOT INDICATED,"DATA PROCESSING, SOFTWARE DEVELOPMENT TO PROVIDE PLATFORM FOR CAB SERVICE",111.10,1.74,
9,CYTESPACE RESEARCH PVT LTD,South Africa,OPPEL GREEFF,REGION NOT INDICATED,CLINICAL RESEARCH SERVICES,3.19,0.05,
