Table No.18 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
DURING MARCH, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,NORFOLK MECHANICAL (INDIA) PVT LTD,Australia,RCR INFRASTRUCTURE (CORPORATE) PTY LTD,MUMBAI,"Installation of heating systems (electric, gas and oil), furnaces, cooling towers, non-electric solar",56.43,0.90,
2,NORFOLK MECHANICAL (INDIA) PVT LTD,Australia,RCR ODONNELL GRIFFIN PTY LTD,MUMBAI,"Installation of heating systems (electric, gas and oil), furnaces, cooling towers, non-electric solar",6.31,0.10,
3,NORFOLK MECHANICAL (INDIA) PVT LTD,Australia,RCR INFRASTRUCTURE (CORPORATE) PTY LTD,MUMBAI,"Installation of heating systems (electric, gas and oil), furnaces, cooling towers, non-electric solar",1.76,0.03,
4,CHROMAFLO TECHNOLOGIES INDIA PVT LTD,Australia,Chromaflo Technologies Australia PTY LTD,MUMBAI,"Manufacture of paints and varnishes, enamels or lacquers",6.17,0.10,
5,RELIGARE ENTERPRISES LTD,Australia,Vishtasp Ardeshir Irani,NEW DELHI,OTHER FINANCIAL SERVICES N.E.C,0.04,0.00,
6,GLOB EDIFICATION PRIVATE LIMITED,Australia,SANJEEV GILL,NEW DELHI,"General school education in the second stage of the secondary level (Senior/ Higher secondary) giving,",0.03,0.00,
7,THINK BIM PRIVATE LIMITED,Australia,THELMA DIAI MCINTOSH,NEW DELHI,Architectural and engineering activities and related technical consultancy,0.83,0.01,
8,ARROW SLIPFORM KERB MACHINERY (INDIA ) P,Australia,TIMOTHY JOHN ANDREWS,AHMEDABAD,"Manufacture of other machinery for mining, quarrying and construction n.e.c.",0.05,0.00,
9,ARROW SLIPFORM KERB MACHINERY (INDIA ) P,Australia,SHARON SUE ANDREWS,AHMEDABAD,"Manufacture of other machinery for mining, quarrying and construction n.e.c.",0.05,0.00,
10,EFFICIENCY LEADERS RESOURCES PRIVATE LIM,Australia,LUKE ANTHONY SHAW,BANGALORE,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.05,0.00,
11,EFFICIENCY LEADERS RESOURCES PRIVATE LIM,Australia,LEE JAMES FISHER,BANGALORE,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.05,0.00,
12,RAYWHITE (INDIA) PRIVATE LIMITED,Australia,RAY WHITE (ASIA) PTY LTD,NEW DELHI,Management consultancy activities,4.13,0.07,
13,TR7 HEALTHCARE (INDIA) PRIVATE LIMITED,Australia,TR7 HEALTHCARE PTY LTD,NEW DELHI,Other educational services n.e.c.,0.05,0.00,
14,GREET AERIAL INTERNATIONAL PRIVATE LIMIT,Australia,Aerial Capital Group Limited,CHENNAI,Wholesale of other basic/manufactured food stuffs n.e.c.,2.50,0.04,
15,PRIMO FOODS PRIVATE LTD.,Australia,DJGMEATINC PTY LTD,NEW DELHI,"Production, processing and preserving of other meat and meat products n.e.c.",2.07,0.03,
16,PRIMO FOODS PRIVATE LTD.,Australia,FAYMAN INTERNATIONAL PTY LTD,NEW DELHI,"Production, processing and
preserving of other meat and meat products n.e.c.",2.30,0.04,
17,THINK BIM PRIVATE LIMITED,Australia,TIMOTHY MICHAEL PETERS,NEW DELHI,Architectural and engineering activities and related technical consultancy,1.39,0.02,
18,THINK BIM PRIVATE LIMITED,Australia,BARRY PETER WORMALD,NEW DELHI,Architectural and engineering activities and related technical consultancy,1.39,0.02,
19,HCL TECHNOLOGIES LTD.,Australia,GUNESEKARAN SUBRAMANIAN,NEW DELHI,Providing software support and maintenance to the clients,0.00,0.00,
20,VA TECH WABAG LTD,Austria,DI  DR JOSEF LAHNSTEINER,CHENNAI,"Water collection, treatment and supply",1.35,0.02,
21,AKRAS FLAVOURS INDIA PRIVATE LIMITED,Austria,AKRAS FLAVOURS GMBH,BANGALORE,Manufacture of synthetic flavoured concentrates and syrups,0.38,0.01,
22,AKRAS FLAVOURS INDIA PRIVATE LIMITED,Austria,MARTIN KRASNY,BANGALORE,Manufacture of synthetic flavoured concentrates and syrups,0.03,0.00,
23,AKRAS FLAVOURS INDIA,Austria,AKRAS FLAVOURS GMBH,BANGALORE,Manufacture of synthetic flavoured,1.77,0.03,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,PRIVATE LIMITED,,,,concentrates and syrups,,,
24,AKRAS FLAVOURS INDIA PRIVATE LIMITED,Austria,AKRAS FLAVOURS GMBH,BANGALORE,Manufacture of synthetic flavoured concentrates and syrups,9.09,0.15,
25,AKRAS FLAVOURS INDIA PRIVATE LIMITED,Austria,MARTIN KRASNY,BANGALORE,Manufacture of synthetic flavoured concentrates and syrups,0.12,0.00,
26,HASABI HOSPITALITY SERVICES PVT. LTD.,Baharain,FABS REAL ESTATE COMPANY B.S.C.C,KOCHI,Activities of travel agents and tour operators,12.28,0.20,
27,AXA ASSISTANCE INDIA PVT LTD,Belgium,INTER PARTNER ASSISTANCE S.A.,NEW DELHI,"Other professional, scientific and technical activities n.e.c.",69.96,1.12,
28,VERMEIREN INDIA REHAB PRIVATE LIMITED,Belgium,VERMEIREN GROUP N.V,BANGALORE,Wholesale of other electronic equipments and parts thereof,4.54,0.07,
29,RELIGARE ENTERPRISES LTD,Belgium,Apoorva Prakash Doshi,NEW DELHI,OTHER FINANCIAL SERVICES N.E.C,0.01,0.00,
30,A-SQUARE HEALTHCARE VENTURES PVT LTD,Belgium,Romain Rutten,MUMBAI,Management consultancy activities,1.20,0.02,
31,HYTECH SEED INDIA PRIVATE LIMITED,Belgium,10 Individuals,HYDERABAD,Research and experimental development on natural sciences and engineering,6.73,0.11,
32,VITRAAG INDIA PVT LTD,Belgium,Vitraag BVBA,MUMBAI,"Working of diamonds and other precious and semi-precious stones
including the working of industrial quality",50.00,0.80,
33,CONNECT LANGUAGE CONSULTANCY PVT LTD,Brazil,MARCIO SILVA DE ALMEIDA,PANAJI,Other educational services n.e.c.,0.05,0.00,
34,CONNECT LANGUAGE CONSULTANCY PVT LTD,Brazil,MS PATRICIA FERREIRA ALMEIDA,PANAJI,Other educational services n.e.c.,0.05,0.00,
