Table No.18 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING MARCH, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,CORE WELLNESS LTD,UAE,MITASU TRADING AND CONSULTANCY CO LTD,REGION NOT INDICATED,WELLNESS A,1.99,0.03,
2,NAGARRO SOFTWARE (JAIPUR) PVT LTD,Singapore,ALLGEIER GLOBAL SERVICES ASIA PTE LTD,REGION NOT INDICATED,COMPUTER PROGRAMMING ACTIVITIES,98.95,1.58,
3,"MOBATIA TECHNOLOGY PVT
LTD",Singapore,ENLITE SINGAPORE PTE LTD,"REGION NOT
INDICATED",COMPUTER AND RELATED ACTIVITIES,0.06,0.00,
4,IMCD INDIA PVT LTD,Netherlands,IMCD GROUP BV,REGION NOT INDICATED,"WHOLESALE OF CHEMICALS, FOOD, PHARMACEUTICALS, PERSONAL CARE INGREDIENTS ETC..",0.05,0.00,
5,KNOWTREND CONSULTING SERVICES PVT LTD,U.S.A,D & T SERVICES GP LLC,REGION NOT INDICATED,"TO CARRY ON THE BUSINESS OF MANAGEMENT CONSULTANTS, ADVISORS, MANAGERS, SOLUTIONS PROVIDERS AND CONSULTANCY SERVICES FOR ALL TYPES OF BUSINESSES",0.00,0.00,
6,CODIGAMI LABS PVT LTD,U.S.A,CODIGAMI INC,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.08,0.00,
7,ENOVANCE SOLUTIONS INDIA PVT LTD,France,ENOVANCE SAS PARIS,REGION NOT INDICATED,"IT SERVICES, TELECOM SERVICE, SUPPLYING IT NETWORKS, CONSULTING ETC...",0.09,0.00,
8,"MOBATIA TECHNOLOGY PVT
LTD",Singapore,ENLITE SINGAPORE PTE LTD,"REGION NOT
INDICATED",COMPUTER AND RELATED ACTIVITIES,0.14,0.00,
9,MYTRA DESIGN PVT LTD,Singapore,FK MYNTRA HOLDINGS PVT LTD,REGION NOT INDICATED,WHOLESALE CASH AND CARRY DEVELOPING AND MAINTAINING TECH PLATFORM,322.12,5.16,
10,IMCD INDIA PVT LTD,Netherlands,IMCD GROUP BV,REGION NOT INDICATED,"WHOLESALE OF CHEMICALS, FOOD, PHARMACEUTICALS, PERSONAL, CARE INGREDIENTS, ETC..",0.05,0.00,
