Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING MAY, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,GLOBAL PHARMATECH PVT LTD,Canada,PHARMASCIENCE INC,BANGALORE,Manufacture of allopathic pharmaceutical preparations,63.00,0.99,
2,DECATHLON SPORTS INDIA PVT LTD,France,DECATHLON SA,BANGALORE,Retail sale of games and toys in specialized stores,900.00,14.11,
3,GIBA HOLDINGS PVT. LTD.,France,SOCIETE BEAUJON,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",216.42,3.39,
4,M/S ACME SOLAR ENERGY PRIVATE LIMITED,France,EDF EN India SAS,NEW DELHI,Electric power generation using solar energy,32.98,0.52,
5,FRESENIUS KABI INDIA LTD.,Germany,FRESNIUS KABI AG,MUMBAI,Manufacture of allopathic pharmaceutical preparations,"1,688.08",26.46,
6,BOETTCHER (INDIA) PVT. LTD.,Germany,BOETTCHER HOLDING GMBH & CO KG,NEW DELHI,Other service activities related to printing n.e.c.,39.79,0.62,
7,M/S ACME SOLAR ENERGY PRIVATE LIMITED,Luxembourg,EREN India Sarl,NEW DELHI,Electric power generation using solar energy,30.42,0.48,
8,GETIT INFOSERVICES PVT LTD,Mauritius,ASTRO ENTERTAINMENT NETWORKS LTD,NEW DELHI,Operation of web sites that use a search engine to generate and maintain extensive databases of internet,"2,945.00",46.16,
9,INDUS RENEWABLE ENERGY INDIA PRIVATE LIM,Mauritius,Indus Power & Inferastructure (Mauritius,HYDERABAD,Electric power generation by hydroelectric power plants,24.73,0.39,
10,KOYE PHARMACEUTICALS PVT LTD,Mauritius,SEQUOIA CAPITAL INDIA INVESTMENTS IV LTD,MUMBAI,Manufacture of allopathic pharmaceutical preparations,600.00,9.40,
11,ZOOROPA FOODS PVT LTD,Mauritius,SAIF PARTNERS INDIA IV LTD,NEW DELHI,Activities of holding companies,93.11,1.46,
12,BELLADONA PLASTERS PVT LTD,Netherlands,BSN MEDICAL NETHERLANDS HOLDING B.V,PANAJI,"Manufacture of medical impregnated wadding, gauze, bandages, dressings, surgical gut string etc.",99.05,1.55,
13,ICICI BANK LTD.,Russia,HEMANT BHAGAT,AHMEDABAD,"Monetary intermediation of commercial banks,
saving banks. postal savings bank and discount houses",0.40,0.01,
