Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE DURING MAY, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,ELEPHANT ENERGY PRIVATE LIMITED,Australia,ANDREW JAMES SKIDMORE,NEW DELHI,Electric power generation using other non conventional sources,9.11,0.14,
2,GLOBAL WOOL ALLIANCE PVT LTD,Australia,INVESTMENT GWA PTY LTD,MUMBAI,"Preparation and spinning of wool, including other animal hair and blended* wool including other animal",17.54,0.27,
3,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,Australia,ASHOK NAYAK,MUMBAI,Computer consultancy and computer facilities management activities,0.60,0.01,
4,CARIQ TECHNOLOGIES PVT LTD,Australia,VENTURE FACTORY PTY LTD,MUMBAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",1.00,0.02,
5,BRAVO CAREERS PVT LTD,Australia,DALE PETER SIMPSON,MUMBAI,Educational support services,0.05,0.00,
6,INDO GOLD RESOURCES PVT LTD,Australia,Indo Gold,NEW DELHI,Support activities for other mining and quarrying,2.67,0.04,
7,INDO GOLD RESOURCES PVT LTD,Australia,indo gold,NEW DELHI,Support activities for other mining and quarrying,3.20,0.05,
8,GLOBAL EDUCATION SOLUTIONS INDIA PRIVATE,Australia,Rajasekaran Prabakaran,HYDERABAD,Other educational services n.e.c.,0.10,0.00,
9,ELEPHANT ENERGY PRIVATE LIMITED,Australia,ANDREW JAMES SKIDMORE,NEW DELHI,Electric power generation using other non conventional sources,0.10,0.00,
10,INDO GOLD RESOURCES PVT LTD,Australia,Indo Gold Ltd,NEW DELHI,Support activities for other mining and quarrying,2.44,0.04,
11,INDO GOLD MINES PVT LTD,Australia,INDO GOLD LIMITED,BANGALORE,"Mining of precious metal ore (gold, silver)",1.00,0.02,
12,CHERRYPICK TECHNOLOGIES PRIVATE LIMITED,Australia,Gore Street Nomineed Pty Ltd,CHENNAI,Providing software support and maintenance to the clients,9.12,0.14,
13,SEYON INNOVATIVE ENGINEERING INDIA PRIVA,Australia,SEYON PTY LIMITED,CHENNAI,Computer consultancy and computer facilities management activities,1.41,0.02,
14,STAYWELL HOSPITALITY MANAGEMENT PVT LTD,Australia,Staywell Hospitality Management PTE. Lim,NEW DELHI,Management consultancy activities,1.61,0.03,
15,SEYON INNOVATIVE ENGINEERING INDIA PRIVA,Australia,SEYON PTY LIMITED,CHENNAI,Computer consultancy and computer facilities management activities,0.83,0.01,
16,INDO GOLD RESOURCES PVT LTD,Australia,Indo Gold Limited,NEW DELHI,Support activities for other mining and quarrying,0.54,0.01,
17,REUTTER INNOVATIVE CLOSURE TECHNOLOGIES,Austria,REUTTER GMBH,CHENNAI,Manufacture of moulded industrial accessories of plastics [including electrical insulating fittings of,6.19,0.10,
18,STORK FERRO & MINERAL INDUSTRIES PVT LTD,Austria,STORK HOLDING GMBH,NEW DELHI,"Manufacture of other non-metallic mineral products n.e.c. (includes asbestos yarn and fabric, and articles",4.38,0.07,
19,DOCPLEXUS ONLINE SERVICES PRIVATE LIMITE,Austria,ALON SHKLAREK,JAIPUR,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",1.43,0.02,
20,DOCPLEXUS ONLINE SERVICES PRIVATE LIMITE,Austria,ALON SHKLAREK,JAIPUR,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",0.04,0.00,
21,DOCPLEXUS ONLINE SERVICES PRIVATE LIMITE,Austria,ASP CONSULTING GMBH,JAIPUR,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",7.92,0.12,
22,SEABIRD SEAPLANE PVT. LTD.,Baharain,VARGHESE KURIAN,KOCHI,Passenger airways,18.00,0.28,
23,DADABHAI TRAVEL AND TOURS PVT LTD,Baharain,MOHAMMED AHMED ALI DADABHAI,MUMBAI,Tour operator activities,10.00,0.16,
24,DADABHAI TRAVEL AND TOURS PVT LTD,Baharain,AZIZ FIDAHUSEIN GILITWALA,MUMBAI,Tour operator activities,10.00,0.16,
25,ORCHESTRA BUYING AND RETAIL INDIA PRIVAT,Belgium,PIERRE ANDRE LAURENT MARIE MESTRE,NEW DELHI,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live",0.00,0.00,
26,EUROCIRCUITS INDIA LIMITED,Belgium,EUROCIRCUITS N.V.,AHMEDABAD,"Manufacture of integrated circuits (analog, digital or hybrid)",19.04,0.30,
