Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING MAY, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,EXPICIENT SOFTWARE PVT LTD,Netherlands,AREBU HOLDING BV,REGION NOT INDICATED,IT SERVICES,0.01,0.00,
2,KAMA JOURNEYS AND HOSPITALITY SERVICES P,South Korea,PARK MI WON,REGION NOT INDICATED,HOSPITALITY SERVICES,0.02,0.00,
3,VEEBA TECHNOLOGIES PVT LTD,U.S.A,BEATAOUT INC,REGION NOT INDICATED,PURCHASE AND SALE OF VEHICLES,0.10,0.00,
4,47 LINE TECHNOLOGIES PVT LTD,U.S.A,47 LINE TECHNOLOGIES INC,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.10,0.00,
5,HITACHI SYSTEMS MICRO CLINIC PVT LTD,Japan,HITACHI SYSTEMS LTD,REGION NOT INDICATED,INFORMATION TECHNOLOGY CONSULTANCY AND DATA PROCESSING SERVICES,0.02,0.00,
6,SAMVARDHANA MOTHERSON FINANCE LTD,Hungary,MILORD VASIC,REGION NOT INDICATED,COMPANY INVESTS IN SUBSIDIARIES AND JV MANUFACTURING AUTO COMPONENTS,0.05,0.00,
7,SOCOMEC INDIA PVT LTD,France,SOCOMEC SAS,REGION NOT INDICATED,MFG OF ELECTRICAL EQUIPMENT,27.27,0.43,
8,SAMVARDHANA MOTHERSON FINANCE LTD,Japan,HIROSHI MORIMOTO,REGION NOT INDICATED,COMPANY INVESTS IN SUBSIDIARIES AND JV MANUFACTURING AUTO COMPONENTS,5.71,0.09,
9,ALL SAINTS INDIA PVT LTD,United Kingdom,ALL SAINTS RETAIL LTD,REGION NOT INDICATED,OTHER BUSINESS SERVICES ACTIVITIES NOT ELSEWHERE CLASSIFIED,0.00,0.00,
10,INFORMAGE SOFTWARE PVT LTD,UAE,INFORMAGE TECHNOLOGIES JLT,REGION NOT INDICATED,SOFTWARE CONSULTANCY,17.41,0.27,
11,SAMVARDHANA MOTHERSON FINANCE LTD,Mexico,MATIRO ENRIQUE FLORES CAMACHO,REGION NOT INDICATED,COMPANY INVESTS IN SUBSIDIARIES AND JV MANUFACTURING AUTO COMPONENTS,0.22,0.00,
12,SAMVADHANA MOTHERSON FINANCE LTD,Germany,CLAUDIA WINDHORST,REGION NOT INDICATED,COMPANY INVESTS IN SUBSIDIARIES AND JV MANUFACTURING AUTO COMPONENTS,0.04,0.00,
13,3ILOGIC DESIGNS PVT LTD,U.S.A,DHAVAL AJMERA,REGION NOT INDICATED,"DATA PROCESSING, SOFTWARE DEVELOPMENT AND COMPUTER CONSULTANCY SERVICES",0.02,0.00,
14,CIDP BIOTECH INDIA PVT LTD,Mauritius,CIDP INDIA,REGION NOT INDICATED,BUSINESS OF BIOSTATISTICS AND MEDICAL WRITING SERVICES,0.10,0.00,
15,CIPHERCLOUD INDIA PVT LTD,U.S.A,CIPHERCLOUD INC,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.10,0.00,
16,HITACHI SYSTEMS MICRO CLINIC PVT LTD,Japan,HITACHI SYSTEMS LTD,REGION NOT INDICATED,INFORMATION TECHNOLOGY CONSULTANCY AND DATA PROCESSING SERVICES,0.00,0.00,
17,FRESENIUS KABI ONCOLOGY LTD,Singapore,FRESENIUS KABI (SINGAPORE) PTE LTD,REGION NOT INDICATED,"RESEARCH, DEVELOPMENT, PRODUCTION, MANUFACTURE, SALE, MARKETING, PROMOTION ETC..",35.92,0.56,
18,SAMVARDHANA MOTHERSON FINANCE LTD,Germany,REICHLE ANDREAS,REGION NOT INDICATED,COMPANY INVESTS IN SUBSIDIARIES AND JV MANUFACTURING AUTO COMPONENTS,0.06,0.00,
19,SAMVARDHANA MOTHERSON FINANCE LTD,Hungary,PETER ARVAY,REGION NOT INDICATED,COMPANY INVESTS IN SUBSIDIARIES AND JV MANUFACTURING AUTO COMPONENTS,0.00,0.00,
20,SOCOMEC INDIA PVT LTD,France,SOCOMEC SAS,REGION NOT INDICATED,MFG OF ELECTRICAL EQUIPMENT,27.27,0.43,
21,SOCOMEC INDIA PVT LTD,France,SOCOMEC SAS,REGION NOT INDICATED,MFG OF ELECTRICAL EQUIPMENT,8.39,0.13,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
22,ALL SAINTS INDIA PVT LTD,United Kingdom,ALL SAINTS RETAIL LTD,REGION NOT INDICATED,OTHER BUSINESS SERVICES ACTIVITIES NOT ELSEWHERE CLASSIFIED,0.10,0.00,
23,GREENPLY INDUSTRIES LTD,Mauritius,WESTBRIDGE CROSSOVER FUND LLC,REGION NOT INDICATED,"MANUFACTURING OF VENEER SHEETS, PLYWOOD, LAMINBOARD, PARTICLE BOARD ETC..",757.09,11.87,
24,INDREN SERVICES PVT LTD,France,ELISABETH FRANCOISE MARIE JOSEPH GRANT D,REGION NOT INDICATED,"PROMOTING,",0.01,0.00,
25,LILAC MEDICARE PVT LTD,Japan,TOSOH CORPORATION,REGION NOT INDICATED,WHOLESALE,201.56,3.16,
26,GRASSROOTS BUSINESS INVESTMENT ADVISORS,U.S.A,GRASSROOTS BUSINESS PARTNERS INC,REGION NOT INDICATED,BUSINESS A,0.00,0.00,
27,ACHINDRA ONLINE MARKETING PVT LTD,United Kingdom,20140728 HOLDING SRL,REGION NOT INDICATED,INTERMEDIA,5.21,0.08,
28,NETPAY SOLUTIONS PVT LTD,Netherlands,NET1 APPLIED TECHNOLOGIES NETHERLANDS BV,REGION NOT INDICATED,"BUY, SELL,",1.69,0.03,
29,SPEAKWELL ENTERPRISES PVT LTD,U.S.A,GRAY MATTERS CHARITABLE FOUNDATION INC,REGION NOT INDICATED,VOCATIONAL,0.45,0.01,
30,TRULYMADLY MATCHMAKERS PVT LTD,Singapore,TRULYMADLY MATCHMAKERS PTE LTD,REGION NOT INDICATED,ONLINE MAT,0.04,0.00,
31,UNITECH HI TECH STRUCTURES LTD,U.S.A,BSREP MOON C2 LP,REGION NOT INDICATED,DEVELOPMEN,0.07,0.00,
32,WIZROCKET TECHNOLOGIES PVT LTD,U.S.A,WIZROCKET INC,REGION NOT INDICATED,SOFTWARE D,0.06,0.00,
33,SYNUP DIGITAL PVT LTD,U.S.A,SYNUP CORPORATION,REGION NOT INDICATED,BUSINESS R,0.05,0.00,
