Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING JANUARY 2016 TO MARCH, 2016",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,CELIO FUTURE FASHION LTD,Belgium,Celio International S A,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",234.00,3.48,
2,CELIO FUTURE FASHION LTD,Belgium,Celio International S A,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",49.00,0.73,
3,CELIO FUTURE FASHION LTD,Belgium,Celio International S A,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",50.00,0.74,
4,CELIO FUTURE FASHION LTD,Belgium,Celio International S A,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",35.10,0.52,
5,CELIO FUTURE FASHION LTD,Belgium,Celio International S A,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",70.00,1.04,
6,CELIO FUTURE FASHION LTD,Belgium,Celio International S A,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",241.25,3.59,
7,STAR INDIA PVT LTD,Belarus,STARTV.COM HOLDINGS LTD,MUMBAI,Radio broadcasting,59.94,0.88,
8,FERTIN INDIA PRIVATE LIMITED,Denmark,Investment Fund for developing Countries,HYDERABAD,Manufacture of allopathic pharmaceutical preparations,17.55,0.26,
9,BEL-THALES SYSTEMS LIMITED,France,THALES AIR SYSTEMS SAS,BANGALORE,Defence activities,6.40,0.10,
10,LE CREUSET INDIA TRADING P LTD,France,LE CREUSET,MUMBAI,"Wholesale of metal, porcelain and glass utensils; crockery and chinaware",4.90,0.07,
11,LE CREUSET INDIA TRADING P LTD,France,LE  CREUSET,MUMBAI,"Wholesale of metal, porcelain and glass utensils; crockery and chinaware",5.00,0.07,
12,LE CREUSET INDIA TRADING P LTD,France,LE CREUSET,MUMBAI,"Wholesale of metal, porcelain and glass utensils; crockery and chinaware",15.00,0.22,
13,LE CREUSET INDIA TRADING P LTD,France,LE CREUSET,MUMBAI,"Wholesale of metal, porcelain and glass utensils; crockery and chinaware",5.00,0.07,
14,LE CREUSET INDIA TRADING P LTD,France,LE CREUSET,MUMBAI,"Wholesale of metal, porcelain and glass utensils; crockery and chinaware",7.50,0.11,
15,DELSEY INDIA PVT. LTD,France,DELSEY S.A.,NEW DELHI,"Retail sale of leather goods and travel accessories of leather and leather
substitutes",11.48,0.17,
16,BHARTI AXA GENERAL INSURANCE COMPANY LTD,France,SOCIETE BEAUJON,BANGALORE,Non-life insurance,156.51,2.34,
17,DECATHLON SPORTS INDIA PVT LTD,France,DECATHLON SA,BANGALORE,Retail sale of games and toys in specialized stores,"2,163.40",31.70,
18,DECATHLON SPORTS INDIA PVT LTD,France,DECATHLON SA,BANGALORE,Retail sale of games and toys in specialized stores,277.42,4.07,
19,DECATHLON SPORTS INDIA PVT LTD,France,DECATHLON SA,BANGALORE,Retail sale of games and toys in specialized stores,279.00,4.09,
20,HUBERT BURDA MEDIA,Germany,BURDA GESELLSCHAFT,NEW DELHI,Publishing of journals and periodicals,105.68,1.55,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,INDIA PVT LTD,,MIT BESCHRAENKTER HAF,,,,,
21,HUBERT BURDA MEDIA INDIA PVT LTD,Germany,BURDA GESELLSCHAFT MIT BESCHRAENKTER HAF,NEW DELHI,Publishing of journals and periodicals,70.00,1.03,
22,HUBERT BURDA MEDIA INDIA PVT LTD,Germany,BURDA GESELLSCHAFT MIT,NEW DELHI,Publishing of journals and periodicals,10.21,0.15,
23,SCHULKE INDIA PVT LTD,Germany,SCHULKE & MAYR GMBH,NEW DELHI,Manufacture of basic chemical elements,20.00,0.30,
24,SCHULKE INDIA PVT LTD,Germany,SCHULKE & MAYR GMBH,NEW DELHI,Manufacture of basic chemical elements,29.00,0.43,
25,TODS RETAIL INDIA PVT. LTD.,HongKong,TOD HONG KONG LTD,MUMBAI,Manufacture of all types of textile garments and clothing accessories,40.00,0.59,
26,GIORGIO ARMANI INDIA (PVT) LTD,Italy,GIORGIO ARMANI S.P.A.,NEW DELHI,Other retail sale in non-specialized stores,292.88,4.37,
27,NETMAGIC SOLUTIONS PVT LTD,Japan,NTT COMMUNICATIONS CORPORATION,MUMBAI,Other telecommunications activities,"5,750.00",85.79,
28,DAIWA CAPITAL MARKETS FIXED INCOME PVT L,Japan,DAIWA SECURITIES CAPITAL MARKETS CO LTD.,MUMBAI,Business brokerage activities,0.00,0.00,
29,STAR CJ NETWORK INDIA P LTD,South Korea,CJO SHOPPING COMPANY LTD,MUMBAI,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing,
floor coverings and tapestry,",132.08,1.94,
30,STAR INDIA PVT LTD,Mauritius,QUAZAR INVESTMENTS MAURITIUS LTD,MUMBAI,Radio broadcasting,0.36,0.01,
31,STAR INDIA PVT LTD,Mauritius,BUZER INVESTMENTS LTD,MUMBAI,Radio broadcasting,459.36,6.73,
32,Ascend Telecom Infrastructure Pvt Ltd (F,Mauritius,Ascend telecom Holdings Mauritius LLC,HYDERABAD,Maintenance of telecom network,120.00,1.76,
33,STAR INDIA PVT LTD,Mauritius,BUZZER INVESTMENT LTD,MUMBAI,Radio broadcasting,"11,175.87",163.78,
34,STAR INDIA PVT LTD,Mauritius,QUAZAR INVESTMENTS MAURITIUS LTD,MUMBAI,Radio broadcasting,8.76,0.13,
35,TURMERIC VISION PVT LTD,Mauritius,SOUTH ASIA CREATIVE ASSETS LTD,MUMBAI,Other telecommunications activities,165.00,2.42,
36,TURMERIC VISION PVT LTD,Mauritius,SOUTH ASIA CREATIVE ASSTERS LTD,MUMBAI,Other telecommunications activities,153.00,2.24,
37,TURMERIC VISION PVT LTD,Mauritius,SOUTH ASIA ASSETS CREATION LTD,MUMBAI,Other telecommunications activities,30.00,0.44,
38,TURMERIC VISION PVT LTD,Mauritius,south asia asste creation pvt ltd,MUMBAI,Other telecommunications activities,177.23,2.60,
39,STAR INDIA PVT LTD,Mauritius,STARTV.COM HOLDINGS LTD,MUMBAI,Radio broadcasting,"1,458.29",21.37,
40,GETIT INFOSERVICES PVT LTD,Mauritius,astro entertainment network,NEW DELHI,"Operation of other websites that act as
portals to the Internet, such as media sites providing periodically","1,875.68",27.49,
41,GETIT INFOSERVICES PVT LTD,Mauritius,astro entertainment network,NEW DELHI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",573.24,8.40,
42,GETIT INFOSERVICES PVT LTD,Mauritius,ASTRO ENTERTAINMENT NETWORKS LTD,NEW DELHI,"Operation of web sites that use a search
engine to generate and maintain extensive databases of internet",695.83,10.20,
43,NEWS LAUNDRY MEDIA PRIVATE LIMITED,Mauritius,"ON, MAURITIUS",NEW DELHI,Production of motion picture,31.50,0.47,
44,GOLDMAN SACHS ASSET MANAGEMENT INDIA PVT,Mauritius,GSAM India Holdings Ltd.,MUMBAI,Management of mutual funds,299.82,4.47,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
45,GETIT INFOSERVICES PVT LTD,Mauritius,ASTRO ENTERTAINMENT NETWORKS LTD,NEW DELHI,Operation of web sites that use a search engine to generate and maintain extensive databases of internet,"1,265.15",18.54,
46,"INDIAN HERBS SPECIALITIES PRIVATE
LIMITE",Mauritius,INDIA 2020 FUND II LTD,NEW DELHI,"MANUFACTURE OF AYURVEDIC OR UNANI PHARMACEUTICAL
PREPARATION",150.00,2.20,
47,ZOOROPA FOODS PVT LTD,Mauritius,SAIF PARTNERS INDIA IV LTD,NEW DELHI,Activities of holding companies,66.75,0.98,
48,GETIT INFOSERVICES PVT LTD,Mauritius,Astro Entertainment Networks Ltd.,NEW DELHI,"Operation of other websites that act as
portals to the Internet, such as media sites providing periodically",95.00,1.39,
49,GETIT INFOSERVICES PVT LTD,Mauritius,Astro Entertainment Network Ltd.,NEW DELHI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",70.00,1.03,
50,GETIT INFOSERVICES PVT LTD,Mauritius,Astro Entertainment Network Ltd,NEW DELHI,"Operation of other websites that act as portals to the Internet, such as media
sites providing periodically",100.00,1.47,
51,GETIT INFOSERVICES PVT LTD,Mauritius,Astro Entertainment Network Ltd.,NEW DELHI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",115.80,1.70,
52,GETIT INFOSERVICES PVT LTD,Mauritius,Astro Entertainment Networks Ltd.,NEW DELHI,"Operation of other websites that act as
portals to the Internet, such as media sites providing periodically",45.00,0.66,
53,HINDUJA ENERGY INDIA LTD,Mauritius,HINDUJA POWER LTD,MUMBAI,Electric power generation by coal based thermal power plants,25.90,0.39,
54,HINDUJA ENERGY INDIA LTD,Mauritius,HINDUJA POWER LTD,MUMBAI,Electric power generation by coal based thermal power plants,22.52,0.33,
55,UNIQUEST INFRA VENTURES PVT,Mauritius,GHIR INVESTMENTS (MAURITIUS) LTD,NEW DELHI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",112.14,1.67,
56,ZOOROPA FOODS PVT LTD,Mauritius,SAIF PARTNERS INDIA IV LTD,NEW DELHI,Activities of holding companies,49.73,0.74,
57,MAIL TODAY NEWSPAPERS PVT. LTD.,Mauritius,AN (MAURITIUS) LTD,NEW DELHI,Printing of newspapers,6.69,0.10,
58,TURMERIC VISION PVT LTD,Mauritius,SOUTH ASIA ASSET CREATION LTD,MUMBAI,Other telecommunications activities,70.00,1.03,
59,STAR INDIA PVT LTD,Mauritius,STAR ISP LTD,MUMBAI,Radio broadcasting,202.26,3.01,
60,STAR INDIA PVT LTD,Mauritius,WORLDWIDE WICKETS,MUMBAI,Radio broadcasting,182.82,2.72,
61,FOX STAR STUDIOS INDIA PVT LTD,Mauritius,FOX STAR STUDIOS HOLDINGS LIMITED,MUMBAI,Production of motion picture,462.14,6.87,
62,TODS RETAIL INDIA PVT. LTD.,Netherlands,TOD INTERNATIONAL BV,MUMBAI,Manufacture of all types of textile garments and clothing accessories,0.80,0.01,
63,SNOWCAP RETAIL (INDIA) PRIVATE LIMITED,Netherlands,MONTBLANC SERVICES B.V,BANGALORE,"Retail sale of photographic, optical and precision equipment",211.65,3.15,
64,ORANGE BUSINESS SERVICES INDIA NETWORK P,Netherlands,EGN B.V,NEW DELHI,Maintenance of telecom network,562.00,8.36,
65,TODS RETAIL INDIA PVT. LTD.,Netherlands,TOD INTERNATIONAL BV,MUMBAI,Manufacture of all types of textile garments and clothing accessories,1.14,0.02,
