Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING APRIL 2016 TO JUNE, 2016",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,SUCREX INDIA PRIVATE LIMITED,Belgium,Hugues Kronacker,NEW DELHI,Manufacture of other dairy products n.e.c.,0.50,0.01,
2,PHOENIX INFRA TECH (INDIA) PVT LTD,Cyprus,Melbrook Ltd,HYDERABAD,"Construction of buildings carried out on own-account basis or on a fee or contract
basis",47.53,0.72,
3,PHOENIX INFRA TECH (INDIA) PVT LTD,Cyprus,Melbrrok Ltd,HYDERABAD,Construction of buildings carried out on own-account basis or on a fee or contract basis,14.98,0.23,
4,LE CREUSET INDIA TRADING P LTD,France,LE CREUSET FRANCE,MUMBAI,"Wholesale of metal, porcelain and glass utensils; crockery and chinaware",8.50,0.13,
5,LE CREUSET INDIA TRADING P LTD,France,LE CREUSET SAS,MUMBAI,"Wholesale of metal, porcelain and glass utensils; crockery and chinaware",2.00,0.03,
6,LE CREUSET INDIA TRADING P LTD,France,LE CREUSET,MUMBAI,"Wholesale of metal, porcelain and glass utensils; crockery and chinaware",4.90,0.07,
7,LE CREUSET INDIA TRADING P LTD,France,LE CREUSET,MUMBAI,"Wholesale of metal, porcelain and glass utensils; crockery and chinaware",5.00,0.07,
8,LE CREUSET INDIA TRADING P LTD,France,LE CREUSET,MUMBAI,"Wholesale of metal, porcelain
and glass utensils; crockery and chinaware",5.00,0.07,
9,LE CREUSET INDIA TRADING P LTD,France,LE CREUSET SAS,MUMBAI,"Wholesale of metal, porcelain and glass utensils; crockery and
chinaware",2.00,0.03,
10,LE CREUSET INDIA TRADING P LTD,France,LE CREUSET SAS,MUMBAI,"Wholesale of metal, porcelain and glass utensils; crockery and chinaware",2.50,0.04,
11,BNP PARIBAS INDIA HOLDING P LTD,France,BNP PARIBAS SA,MUMBAI,Other business support service activities n.e.c.,857.68,12.74,
12,BNP PARIBAS INDIA HOLDING P LTD,France,BNP PARIBAS SA,MUMBAI,Other business support service activities n.e.c.,"1,406.00",20.89,
13,BNP PARIBAS INDIA HOLDING P LTD,France,BNP PARIBAS SA,MUMBAI,Other business support service activities n.e.c.,343.88,5.11,
