Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
DURING APRIL 2016 TO JUNE, 2016",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,PHARMACHOL CHEMICALS PRIVATE LIMITED,Australia,MARAMEL PTY LTD,NEW DELHI,Manufacture of other articles n.e.c.,14.84,0.22,
2,VETEA INDIA PRIVATE LIMITED,Australia,"VOCATIONAL EDUCATION, TRAINING AND EMPLO",NEW DELHI,Sports and recreation education,0.39,0.01,
3,MKA ENGINEERS AND EXPORTERS PVT LTD,Australia,khodaram Behram Pollard,MUMBAI,Other business support service activities n.e.c.,15.00,0.22,
4,CHROMAFLO TECHNOLOGIES INDIA PVT LTD,Australia,Chromaflo Technologies Australia Pty Ltd,MUMBAI,"Manufacture of paints and varnishes, enamels or lacquers",2.88,0.04,
5,CHROMAFLO TECHNOLOGIES INDIA PVT LTD,Australia,Srinivasa Rao,MUMBAI,"Manufacture of paints and varnishes, enamels or lacquers",0.00,0.00,
6,WAUGH GLOBAL REALTY INDIA PRIVATE LIMITE,Australia,WAUGH GLOBAL REALTY PTY LTD,NEW DELHI,Management consultancy activities,0.10,0.00,
7,WAUGH GLOBAL REALTY INDIA PRIVATE LIMITE,Australia,DEAN ANDREW HONAN,NEW DELHI,Management consultancy activities,0.00,0.00,
8,ADSTREAM ADVERTISING SERVICES PVT LTD,Australia,Adstream Holdings Pty Ltd,MUMBAI,Advertising,10.40,0.16,
9,ADSTREAM ADVERTISING SERVICES PVT LTD,Australia,Adstream Holdings Pty Ltd,MUMBAI,Advertising,2.40,0.04,
10,REVUTEL CONSULTING SERVICES PRIVATE LIMI,Australia,MARK AUSTIN SHEPTON EVANS,NEW DELHI,Management consultancy activities,0.07,0.00,
11,FREEDOM SHIPPING CO. LTD.,Australia,MR.LESLIE J.FERNANDES,MUMBAI,Activities of shipping cargo agents,3.00,0.05,
12,BIOTECH TRADING PRIVATE LIMITED,Australia,biotech holding Pty Ltd,NEW DELHI,Other non-specialised wholesale trade n.e.c.,0.90,0.01,
13,BIOTECH TRADING PRIVATE LIMITED,Australia,tinku sukhbir grewal,NEW DELHI,Other non-specialised wholesale trade n.e.c.,0.05,0.00,
14,BIOTECH TRADING PRIVATE LIMITED,Australia,andrew bruce thorpe,NEW DELHI,Other non-specialised wholesale trade n.e.c.,0.05,0.00,
15,BIOTECH DIAGNOSTICS IMPEX PRIVATE LIMITE,Australia,biotech holding pty ltd,NEW DELHI,Other non-specialised wholesale trade n.e.c.,0.05,0.00,
16,BIOTECH DIAGNOSTICS IMPEX PRIVATE LIMITE,Australia,tinku sukhbir grewal singh,NEW DELHI,Other non-specialised wholesale trade n.e.c.,0.05,0.00,
17,BIOTECH DIAGNOSTICS IMPEX PRIVATE LIMITE,Australia,andrew bruce thorpe,NEW DELHI,Other non-specialised wholesale trade n.e.c.,0.05,0.00,
18,BIOTECH TRADING PRIVATE LIMITED,Australia,biotech holding pty ltd,NEW DELHI,Other non-specialised wholesale trade n.e.c.,0.50,0.01,
19,BIOTECH TRADING PRIVATE LIMITED,Australia,biotech trading pty ltd,NEW DELHI,Other non-specialised wholesale trade n.e.c.,1.41,0.02,
20,DEFSYS DEVELOPMENT INDIA PVT LTD,Australia,DEFSYS GROUP PTY LTD,AHMEDABAD,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.20,0.00,
21,DEFSYS DEVELOPMENT INDIA PVT LTD,Australia,DEFSYS DEVELOPMENT PTY LTD,AHMEDABAD,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.00,0.00,
22,DEFSYS DEVELOPMENT INDIA PVT LTD,Australia,DEFSYS GROUP PTY LTD,AHMEDABAD,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.10,0.00,
23,DEFSYS DEVELOPMENT INDIA PVT LTD,Australia,DEFSYS DEVELOPMENT PTY LTD,AHMEDABAD,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.00,0.00,
24,BLISS CHOCOLATE INDIA PRIVATE LIMITED,Australia,VINAY SHARMA,BANGALORE,"Manufacture of biscuits, cakes, pastries, rusks etc.",7.50,0.11,
25,BIOTECH TRADING PRIVATE LIMITED,Australia,BIOTECH TRADING PTY LTD,NEW DELHI,Other non-specialised wholesale trade n.e.c.,0.58,0.01,
26,STENELLA MOTOR COMPANY PVT LTD,Australia,FELICIA WHITING,MUMBAI,Maintenance and repair of motor vehicles,0.00,0.00,
27,PACIFIC BMG PRIVATE LIMITED,Australia,CEGM PACIFIC PTY LTD,NEW DELHI,Combined facilities support activities,3.70,0.05,
28,MASTER FIREPLACES PRIVATE LIMITED,Australia,DANMAH CORPORATION PTY LTD,AHMEDABAD,"Installation of heating systems (electric, gas and oil), furnaces, cooling towers, non-electric solar",3.27,0.05,
29,SPORTING EDGE ACADEMIES PVT LTD,Australia,SPORTING EDGE COMMUNITIES TRUST,MUMBAI,Other sports activities,0.15,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
30,ECH INDIA PRIVATE LIMITED,Australia,EQUIPMENT COMPONENT HOLDINGS PTY LTD,BANGALORE,"Manufacture of earth-moving machinery (bulldozers, angle-dozers, graders, scrapers, levellers, mechanical",0.10,0.00,
31,ECH INDIA PRIVATE LIMITED,Australia,MR BRADLEY JACKSON DAWSON,BANGALORE,"Manufacture of earth-moving machinery (bulldozers, angle-dozers, graders, scrapers, levellers, mechanical)",0.00,0.00,
32,M/S SMARTRON INDIA PVT LTD,Australia,Mrs. Heena Lagad,HYDERABAD,Wholesale of software,8.00,0.12,
33,TR7 HEALTHCARE (INDIA) PRIVATE LIMITED,Australia,TR7 HEALTHCARE PTY LTD,NEW DELHI,Other educational services n.e.c.,2.95,0.04,
34,ESPIRE EDUCATION PRIVATED LIMITED,Australia,MONIKA RAO,NEW DELHI,Educational support services,0.16,0.00,
35,INCADEA INDIA PRIVATE LIMITED,Austria,INCADEA GMBH,BANGALORE,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",6.39,0.09,
36,INCADEA INDIA PRIVATE LIMITED,Austria,INCADEA GMBH,BANGALORE,"Writing , modifying, testing of computer program
to meet the needs of a particular client excluding web-page",14.44,0.21,
37,AGRU PLASTIC TECHNOLOGY PVT LTD,Austria,Alois Gruber Gesselschaft M.B.H,MUMBAI,Activities of other commission agents n.e.c. (including commission agents working in emerging areas for,2.50,0.04,
38,AGRU PLASTIC TECHNOLOGY PVT LTD,Austria,AP-PV GMBH,MUMBAI,Activities of other commission agents n.e.c. (including commission agents working in emerging areas for,0.00,0.00,
39,STORK FERRO & MINERAL INDUSTRIES PVT LTD,Austria,STORK HOLDING GMBH,NEW DELHI,"Manufacture of other non-metallic mineral products n.e.c. (includes asbestos yarn and fabric, and articles",29.65,0.45,
40,TRODAT MARKING INDIA PVT LTD,Austria,TRODAT GMBH,NEW DELHI,"Wholesale of office machinery and equipment, except computers and computer peripheral equipment",51.68,0.78,
41,TUV AUSTRIA INDIA PVT LTD,Austria,TUV AUSTRIA HOLDING AG,MUMBAI,"Other professional, scientific and technical activities n.e.c.",1.67,0.03,
42,CARGO PARTNER LOGISTICS INDIA PRIVATE LI,Austria,MULTI TRANSPORT UND LOGISTIC HOLDING AG,KOLKATA,Cargo handling incidental to land transport,41.08,0.62,
43,CARGO PARTNER LOGISTICS INDIA PRIVATE LI,Austria,MULTI TRANSPORT UND LOGISTIC HOLDING AG,KOLKATA,Cargo handling incidental to land transport,28.89,0.43,
44,CARGO PARTNER LOGISTICS INDIA PRIVATE LI,Austria,MULTI TRANSPORT UND LOGISTIC HOLDING AG,KOLKATA,Cargo handling incidental to land transport,53.97,0.81,
45,CARGO PARTNER LOGISTICS INDIA PRIVATE LI,Austria,MULTI TRANSPORT UND LOGISTIC HOLDING AG,KOLKATA,Cargo handling incidental to land transport,105.22,1.58,
46,CARGO PARTNER LOGISTICS INDIA PRIVATE LI,Austria,SAFER OVERSEAS  TRANSPORT HOLDING GMBH,KOLKATA,Cargo handling incidental to land transport,0.03,0.00,
47,CARGO PARTNER LOGISTICS INDIA PRIVATE LI,Austria,SAFER OVERSEAS TRANSPORT HOLDING GMBH,KOLKATA,Cargo handling incidental to land transport,15.71,0.24,
