Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING APRIL 2016 TO JUNE, 2016",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,KOKUYO CAMLIN LIMITED,Japan,KOKUYO S&t CO LTD,REGION NOT INDICATED,MANUFACTURE OF OTHER CHEMICAL PRODUCTS N.E.C.,470.33,7.08,
2,TRAPSOFT SOLUTIONS INDIA PVT LTD,Australia,TRAPSOFT SOLUTIONS INDIA PVT LTD,REGION NOT INDICATED,COMPUTER PROGRAMMING ACTIVITIES,0.00,0.00,
3,FIRCROFT INDIA PRIVATE LIMITED,United Kingdom,FIRCROFT ENGINEERING LIMITED,REGION NOT INDICATED,Activities of employment placement agencies,0.05,0.00,
4,FIRCROFT INDIA PRIVATE LIMITED,United Kingdom,FIRCROFT ENGINEERING LIMITED,REGION NOT INDICATED,Activities of employment placement agencies,0.05,0.00,
5,ASSETZ VALUE HOME NORTH PVT LTD,Singapore,"ASSETZ GROUP
HOLDINGS PTE LIMITED",REGION NOT INDICATED,CONSTRUCTION OF BUILDINGS,0.05,0.00,
6,MEDWELL VENTURES PRIVATE LIMITED,Oman,ANTELOPE SUMMIT INVESTMENTS LIMITED,REGION NOT INDICATED,OTHER HUMAN HEALTH ACTIVITIES,23.30,0.35,
7,IMMORTAL EDUCATION PRIVATE LIMITED,U.S.A,TASACOM TECHNOLOGIES INC,REGION NOT INDICATED,SOFTWARE PUBLISHING,0.05,0.00,
8,IMMORTAL EDUCATION PRIVATE LIMITED,U.S.A,TASACOM TECHNOLOGIES INC,REGION NOT INDICATED,SOFTWARE PUBLISHING,0.05,0.00,
9,AITKEN SPENCE HOTEL MANAGEMENTS PVT LTD,Sri Lanka,AITKEN SPENCE HOTELS (INTERNATIONAL) LTD,REGION NOT INDICATED,SHORT TERM ACCOMMODATION ACTIVITIES,0.72,0.01,
10,RAND SOFTWARE SERVICES (INDIA) PVT LTD,Virgin Islands(US),LEXICON RESOURCES GROUP LTD,REGION NOT INDICATED,"DATA PROCESSING, HOSTING AND RELATED ACTIVITES.",0.10,0.00,
11,SEMBCORP GAYATRI POWER LTD,Singapore,SEMBCORP UTILITIES PTE,REGION NOT INDICATED,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","3,518.77",52.29,
12,ASSETZ VALUE HOMES EAST PVT LTD,Singapore,ASSETZ GROUP HOLDINGS PTE LTD,REGION NOT INDICATED,CONSTRUCTION OF BUILDINGS,0.05,0.00,
13,VIJAYAWADA TOLLWAY PRIVATE LIMITED,Mauritius,IJM VIJAYAWADA (MAURITIUS LIMITED),REGION NOT INDICATED,CONSTRUCTION ROADS AND RAILWAYS,29.70,0.44,
14,MY PERSONAL HEALTH RECORD INDIA PVT LTD,U.S.A,MY PERSONAL HEALTH RECORD EXPRESS INC,REGION NOT INDICATED,COMPUTER PROGRAMMING ACTIVITIES,0.10,0.00,
15,ARMOR INDIA CODING AND IMAGING SUPPLIES,Singapore,ARMOR ASIA IMAGING SUPPLIES PTE LTD,REGION NOT INDICATED,Manufacture of other articles of paper and paperboard,0.10,0.00,
16,APG IMPERIAL HOMES PVT LTD,Singapore,ASSETZ GROUP HOLDINGS PTE LTD,REGION NOT INDICATED,CONSTRUCTION OF BUILDINGS,0.05,0.00,
17,FAIRFIELD ATLAS LIMITED,U.S.A,TH LICENSING INC,REGION NOT INDICATED,Manufacture of diverse parts and accessories for motor vehecles sucs as brakes,6.33,0.09,
18,TELEYSIA NETWORKS PRIVATE LIMITED,Mauritius,ALYSSUM INVESTMENTS LTD,REGION NOT INDICATED,"Activities of maintaining and operating pageing, cellur and other tetecommunication networks",6.70,0.10,
19,SUPACK INTERNATIONAL PRIVATE LIMITED,U.S.A,MICHELMAN ASIA INC,REGION NOT INDICATED,Wholesale of industrial chemicals,77.51,1.16,
20,TRIKAR PROPERTY MANAGERS PVT LTD,Mauritius,REDWOOD GLOBAL LIMITED,REGION NOT INDICATED,Real estate activities on a fee or contract basis,0.17,0.00,
21,FULFORD (INDIA) LIMITED,United Kingdom,DASHTAG,REGION NOT INDICATED,"Manufacture of medicinal substances used in the manufacture of
pharmaceuticals",6.44,0.10,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
22,"BRAVEMOUNT IT
SOLUTIONS PRIVATE LIMITED",U.S.A,APPIT VENTURES LLC,REGION NOT INDICATED,Providing software support and maintenance to the clients,0.44,0.01,
23,ICICI PRUDENTIAL LIFE INSURANCE COMPANY,Mauritius,COMPASSVALE INVESTMENTS PTE LTD,REGION NOT INDICATED,Life insurance,"6,499.98",97.15,
24,ASSETZ VALUE HOMES EAST PVT LTD,Singapore,ASSETZ GROUP HOLDINGS PTE LTD,REGION NOT INDICATED,"41001 Construction of buildings carried out on own-account basis or on a fee or
contract basis",0.05,0.00,
25,B9 BEVERAGES PRIVATE LIMITED,U.S.A,NEERAJ KUMAR,REGION NOT INDICATED,Wholesale of intoxicants like wines and liquors,0.00,0.00,
26,GORAKHPUR INFRASTRUCTURE COMPANY LIMITED,Bermuda,CATUS BERMUDA VI LP,REGION NOT INDICATED,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways,
highways, bridges, tunnels and subways",0.00,0.00,
27,KIPLING INDIA TRAVELS PRIVATE LIMITED,Denmark,LARS GUNDERSEN,REGION NOT INDICATED,Activities of travel agents and tour operators,0.05,0.00,
28,"ASIAN INSTITUTE OF GASTROENTROLOGY
PRIIV",Mauritius,ILEUM INVESTMENTS LIMITED,REGION NOT INDICATED,86100 Hospital activities,1.08,0.02,
29,UNITED BREWERIES LIMITED,Netherlands,HEINEKEN INTERNATIONAL B V,REGION NOT INDICATED,Manufacture of beer,"1,793.59",26.81,
30,"MINDLANCE TECHSOLUTIONS PRIVATE
LIMITED",U.S.A,MINDLANCE TECHNOLOGIES LLC,REGION NOT INDICATED,Computer consultancy and computer facilities management activities,0.00,0.00,
31,TRIKAR PROPERTY MANAGERS PVT LTD,Mauritius,REDWOOD GLOBAL LIMITED,REGION NOT INDICATED,Real estate activities on a fee or contract basis,0.17,0.00,
32,BRAVEMOUNT IT SOLUTIONS PRIVATE LIMITED,U.S.A,APPIT VENTURES LLC,REGION NOT INDICATED,Providing software support and maintenance to the clients,0.23,0.00,
33,TATA AIA LIFE INSURANCE COMPANY,Bermuda,AIA INTERNATIONAL LIMITED,REGION NOT INDICATED,Life insurance,"20,555.70",307.23,
34,APG IMPERIAL HOMES PVT LTD,Singapore,ASSETZ GROUP HOLDINGS PTE LTD,REGION NOT INDICATED,Construction of buildings carried out on own-account basis or on a fee or contract basis,0.05,0.00,
35,GORAKHPUR INFRASTRUCTURE COMPANY LIMITED,Bermuda,CACTUS BERMUDA III LP,REGION NOT INDICATED,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges, tunnels and subways",0.00,0.00,
36,INDUSTRIES PRIVATE LIMITED,U.S.A,INDIA LLC USA,REGION NOT INDICATED,Manufacture of organic and inorganic chemical compounds n.e.c,24.28,0.36,
37,VISHWAMBER CEMENTS LIMITED,United Kingdom,VRVS PRIVATE LIMITED,REGION NOT INDICATED,"Manufacture of portland cement, aluminous cement, slag cement and
similar hydraulic cement",4.54,0.07,
38,INDUSTRIES PRIVATE LIMITED,U.S.A,INDIA LLC USA,REGION NOT INDICATED,Manufacture of organic and inorganic chemical compounds n.e.c,218.53,3.27,
39,VISHWAMBER CEMENTS LIMITED,United Kingdom,VRVS PRIVATE LIMITED,REGION NOT INDICATED,"Manufacture of portland cement,
aluminous cement, slag cement and similar hydraulic cement",2.32,0.03,
40,GRAND ORGANICS PRIVATE LIMITED,U.S.A,INDIA LLC USA,REGION NOT INDICATED,Manufacture of organic and inorganic chemical compounds n.e.c,3.51,0.05,
41,JEAN MUELLER INDIA PRIVATE LIMITED,Germany,JEAN MUELLER BETEILGUNGEN GMBH,REGION NOT INDICATED,Manufacture of other electrical equipment,0.00,0.00,
42,GRAND ORGANICS PRIVATE LIMITED,U.S.A,INDIA LLC USA,REGION NOT INDICATED,Manufacture of organic and inorganic chemical compounds n.e.c,35.05,0.52,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
43,"SIX SIGMA
INFRASTRUCTURE PROVIDERS",Kuwait,"RAM PRAKASH
TAKKAR & SAVITA TAKKAR",REGION NOT INDICATED,Real estate activities with own or leased property,2.50,0.04,
44,SAMVARDHANA MOTHERSON,Germany,DIETER U ASTRID SCHOCH,REGION NOT INDICATED,"Manufacture of motor vehicle electrical equipment, such as generators, alternators",0.31,0.00,
45,SAMVARDHANA MOTHERSON,Germany,MATTHIAS SAFFER,REGION NOT INDICATED,"Manufacture of motor vehicle electrical
equipment, such as generators, alternators",0.07,0.00,
46,MAIYAS BEVERAGES AND FOODS PRIVATE LTD,Mauritius,PEEPUL CAPITAL FUND III LLC,REGION NOT INDICATED,"Other semi-processed, processed or instant foods n.e.c",124.00,1.85,
47,APARNA INFRAENERGY INDIA PRIVATE LIMITED,Bermuda,CACTUS BERMUDA I LP,REGION NOT INDICATED,Electric power generation by coal based thermal power plants,0.00,0.00,
48,PETE HAMMOND POWER SOLUTIONS,Canada,HAMMOND POWER SOLUTIONS INC,REGION NOT INDICATED,"Manufacture of electric power distribution transformers, arc-welding transformers, fluorescent ballasts, transmission and distribution voltage regulators",172.62,2.58,
49,"PEARSON INDIA EDUCATION SERVICES
PVT LTD",Singapore,PEARSON (SINGAPORE) PTE LTD,REGION NOT INDICATED,Academic tutoring services,137.37,2.05,
