Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING OCTOBER 2016 TO DECEMBER, 2016",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,Appmobi It Services Private Limited,U.S.A,Amindia Holdings Llc,REGION NOT INDICATED,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated
content",0.22,0.00,
2,Cimcon Infotech Private Limited,U.S.A,Cimcon Software Corporation,REGION NOT INDICATED,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web- page designing",0.10,0.00,
3,"Equancy Business Consultancy Private
Lim",France,Equancy International Sas,"REGION NOT
INDICATED",Management consultancy activities,0.00,0.00,
4,Excel Crop Care Limited,Japan,Sumitomo Chemical Co. Ltd,REGION NOT INDICATED,"Manufacture of insecticides, rodenticides, fungicides, herbicides",62.97,0.94,
5,MABEL ENGINEERS PVT LTD,Belgium,Vilostrix N.V,REGION NOT INDICATED,"Manufacture of metal reservoirs, tanks and similar containers",13.91,0.21,
6,Excel Crop Care Limited,Japan,Sumitomo Chemical Co. Ltd,REGION NOT INDICATED,"Manufacture of insecticides, rodenticides, fungicides, herbicides",667.46,10.00,
7,Excel Crop Care Limited,Japan,"Sumitomo Chemical Co. Ltd, Japan",REGION NOT INDICATED,"Manufacture of insecticides, rodenticides, fungicides, herbicides","2,077.94",31.13,
8,Foss India Private Limited,Denmark,Foss A/S,"REGION NOT
INDICATED","Wholesale of electrical machinery, 46593 equipment and supplies, n.e.c.",31.77,0.48,
9,Foss India Private Limited,Denmark,Foss Analytical A/S,REGION NOT INDICATED,"Wholesale of electrical machinery, equipment and supplies, n.e.c.",3.53,0.05,
10,Kansai Nerolac Paints Limited,Japan,Kansai Paint Co. Ltd,"REGION
NOT INDICATED","Manufacture of paints and varnishes, enamels or lacquers",218.23,3.27,
11,One97 Communications Limited,U.S.A,Neeraj Arora Revocable Trust,REGION NOT INDICATED,Other information service activities n.e.c.,2.19,0.03,
12,Owlgrin India Pvt Ltd,U.S.A,Owlgrin Inc,REGION NOT INDICATED,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated
content",0.02,0.00,
13,Owlgrin India Pvt Ltd,U.S.A,Owlgrin Inc,REGION NOT INDICATED,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content",0.02,0.00,
14,S4 Research Private Limited,Spain,Nazira Ogorka,"REGION NOT
INDICATED","Research and experimental development on natural sciences and
engineering",0.06,0.00,
15,S4 Research Private Limited,Spain,"Nazira Ogorka,","REGION NOT
INDICATED","Research and experimental development on natural sciences and
engineering",0.04,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
16,MABEL ENGINEERS PVT LTD,Belgium,Vilostrix N.V,"REGION NOT
INDICATED","Manufacture of metal reservoirs, tanks and similar",0.19,0.00,
17,S4 Research Private Limited,Spain,Thomas Ogorka,REGION NOT INDICATED,Research and experimental development on natural sciences and engineering,0.10,0.00,
