Table No. 19 (c),,,,,,,,
"STATEMENT ON REMITTANCE-WISE OF FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
DURING APRIL 2017 TO JUNE 2017",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,M/S ECOTECH MONITORING SOLUTIONS PVT. LT,Australia,ECOTECH ENVIROMENT PTY LTD,BHOPAL,"Repair and maintenance of measuring, testing, navigating and control equipment of group 265",19.91,0.31,
2,VODLO INDIA PVT LTD,Australia,VODLO PTY LTD,MUMBAI,Computer consultancy and computer facilities management activities,0.10,0.00,
3,VODLO INDIA PVT LTD,Australia,MR.MANISH MUTHA,MUMBAI,Computer consultancy and computer facilities management activities,0.00,0.00,
4,MARINER TRAVEL INDIA PVT LTD,Australia,ASP Holdings Limited,MUMBAI,Travel agency activities,0.03,0.00,
5,INFOACTIVE SUSTAINABILITY SOLUTIONS PVT,Australia,Margaret Mary Jarman,BANGALORE,Other business support service activities n.e.c.,0.05,0.00,
6,INFOACTIVE SUSTAINABILITY SOLUTIONS PVT,Australia,Helen Lousie Jarman,BANGALORE,Other business support service activities n.e.c.,0.05,0.00,
7,FERRA AEROSPACE PVT LTD,Australia,Ferra Engineering PTY Ltd,BANGALORE,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major
assemblies such",0.54,0.01,
8,FERRA AEROSPACE PVT LTD,Australia,Ferra Engineering PTY Ltd,BANGALORE,Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such,7.00,0.11,
9,FERRA AEROSPACE PVT LTD,Australia,Ferra Engineering PTY Ltd,BANGALORE,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major
assemblies such",11.67,0.18,
10,ISC ASSURANCE SERVICES PVT LTD,Australia,ANTHONY HARRY WLDE,MUMBAI,Technical testing and analysis,1.13,0.02,
11,SEKHMET TECHNOLOGIES PRIVATE LIMITED,Australia,asap global pty ltd,NEW DELHI,"Other information technology and computer service activities
n.e.c",1.00,0.02,
12,CCUBE FINTECH GLOBAL SERVICES PRIVATE LI,Australia,CCUBE FINANCIAL SOFTWARE PTY LTD,HYDERABAD,Providing software support and maintenance to the clients,3.15,0.05,
13,BRADKEN INDIA PRIVATE LIMITED,Australia,BRADKEN OPERATIONS PTY LIMITED,CHENNAI,"Manufacture of other iron and steel casting and products
thereof","1,248.77",19.38,
14,CCUBE FINTECH GLOBAL SERVICES PRIVATE LI,Australia,CCUBE FINANCIAL SOFTWARE PTY LTD,HYDERABAD,Providing software support and maintenance to the clients,5.68,0.09,
15,CCUBE FINTECH GLOBAL SERVICES PRIVATE LI,Australia,CCUBE FINANCIAL SOFTWARE PTY LTD,HYDERABAD,Providing software support and maintenance to the clients,1.33,0.02,
16,CCUBE FINTECH GLOBAL SERVICES PRIVATE LI,Australia,CCUBE FINANCIAL SOFTWARE PTY LTD,HYDERABAD,Providing software support and maintenance to the clients,3.68,0.06,
17,CCUBE FINTECH GLOBAL SERVICES PRIVATE LI,Australia,CCUBE FINANCIAL SOFTWARE PTY LTD,HYDERABAD,Providing software support and maintenance to the clients,3.52,0.05,
18,NUGA INDIA ENTERPRISES PVT LTD,Australia,SUNG YEO JEON,MUMBAI,"Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel,",1.50,0.02,
19,AHT COOLING SYSTEMS INDIA PVT LTD,Australia,AHT COOLING SYSTEM GMBH,MUMBAI,"Manufacture of refrigerating or freezing equipment f industrial use, including
assemblies of major c",11.00,0.17,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
20,SMART BUSINESS SOLUTIONS PRIVATE LIMITED,Australia,M PALANISWAMI,CHENNAI,Providing software support and maintenance to the clients,11.00,0.17,
21,APPISTOKI CONSULTING SERVICES PVT LTD,Australia,RITESH KUMAR SRIVASTAVA,BANGALORE,"Other data processing, hosting and related activities n.e.c.",0.17,0.00,
22,AUTO INGRESS INDIA PRIVATE LIMITED,Australia,AUTO INGRESS PTY LTD,CHENNAI,"Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer articles",1.68,0.03,
23,ADVANTIQUE BUSINESS CONSULTING PRIVATE L,Australia,ANITECH CONSULTING PVT LTD,CHENNAI,Other business support service activities n.e.c.,0.10,0.00,
24,POTA GLOBAL LOGISTICS (INDIA) P LTD,Australia,Pota Global Management Pty Ltd,CHENNAI,Activities of shipping cargo agents,18.79,0.29,
25,SEYON INNOVATIVE ENGINEERING INDIA PRIVA,Australia,SEYON PTY LTD,CHENNAI,Computer consultancy and computer facilities management activities,0.71,0.01,
