Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING APRIL 2017 TO JUNE, 2017",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,MUSAFIR.COM INDIA PRIVATE LIMITED,UAE,"UNIVERSAL TRAVELS AND TOURISM LLC , UAE",REGION NOT INDICATED,Travel agency activities,66.67,1.03,
2,Sundew Properties Limited,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,23.54,0.37,
3,REAL RELIEF INDIA PRIVATE LIMITED,Denmark,REAL RELIEF HOLDING APS - DENMARK,REGION NOT INDICATED,"Wholesale of other households goods, n.e.c. [Includes wholesale of household equipment and appliances --- etc. etc.]",0.05,0.00,
4,Sundew Properties Limited,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,11.13,0.17,
5,Sundew Properties Limited,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,23.54,0.37,
6,Gigaplex Estate Private Limited,Cayman Islands,"BREP Asia SBS Pearl Holding (NQ) Ltd , C",REGION NOT INDICATED,Real estate activities with own or leased property,2.66,0.04,
7,Gigaplex Estate Private Limited,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,"1,206.09",18.72,
8,Gigaplex Estate Private Limited,Cayman Islands,"BREP VIII SBS Pearl Holding (NQ) Ltd , C",REGION NOT INDICATED,Real estate activities with own or leased property,1.64,0.03,
9,K.Raheja IT Park (Hyderabad) Limited,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,252.03,3.91,
10,MATSYA SHIPPING AND PORTS PRIVATE LIMITE,Germany,ANDAMAX GMBH - GERMANY,REGION NOT INDICATED,Cargo handling incidental to water transport,0.05,0.00,
11,Goldfield Fragrances Manufacturing Pvt.,France,ROBERTET S.A.,REGION NOT INDICATED,Manufacture of synthetic aromatic products,424.43,6.59,
12,Goldfield Fragrances Manufacturing Pvt.,France,ROBERTET S.A.,REGION NOT INDICATED,Manufacture of synthetic aromatic products,43.50,0.68,
13,Shiksha Financial Services India Private,Mauritius,"Aspada Investment Company,Mauritius",REGION NOT INDICATED,Other credit granting,4.51,0.07,
14,Capricorn Business and Trade Services Pr,Singapore,Amazon Asia-Pacific Holdings Private Lim,REGION NOT INDICATED,Other business support service activities n.e.c.,0.05,0.00,
15,Nippon Paper Foodpac Pvt. Ltd.,Japan,Nippon Paper Industries Co. Ltd.,REGION NOT INDICATED,"Manufacture of paper cups, saucers, plates, hoops, cones and other similar products",59.85,0.93,
16,Avacado Properties And Trading (India) P,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,95.49,1.48,
17,SWAYAM SWACHATTA INITIATIVE LIMITED,Spain,URBASER S A - SPAIN,REGION NOT INDICATED,Collection of non-hazardous waste,0.05,0.00,
18,Goldfield Fragrances Manufacturing Pvt.,France,ROBERTET S.A.,REGION NOT INDICATED,Manufacture of synthetic aromatic products,10.56,0.16,
19,Shiksha Financial Services India Private,Mauritius,"Aspada Investment Company,Mauritius",REGION NOT INDICATED,Other credit granting,2.70,0.04,
20,"XCHANGING OUTSOURCING PVT LTD, SJR I PAR",Mauritius,"XCHANGING MAURITIUS LIMITED, 6TH FLOOR,T",REGION NOT INDICATED,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",1.71,0.03,
21,Banglore International Airport Ltd.,Mauritius,FIH Mauritius Invstments Ltd,REGION NOT INDICATED,"Activities related to air transport of passengers, animals or freight","22,016.47",341.74,
22,PNB Housing Finance Limited,Mauritius,"Quality Investment Holdings
- Mauritius",REGION NOT INDICATED,"Other financial service activities, except insurance and pension funding activities, n.e.c.",62.19,0.97,
23,M/S.Provigil Surveillance Ltd,U.S.A,"M/S. Prv Intermediate Holding Company, U",REGION NOT INDICATED,Security systems service activities,3.07,0.05,
24,Soprema Private Limited,France,"Holding Soprema Sa, France",REGION NOT INDICATED,Other non-specialised wholesale trade n.e.c.,0.99,0.02,
25,Sundew Properties Limited,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,21.06,0.33,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
26,Sundew Properties Limited,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,23.54,0.37,
27,ASA International India Microfinance Lim,Mauritius,ASA International Holding,REGION NOT INDICATED,"Other financial service activities, except insurance and pension funding activities, n.e.c.",18.48,0.29,
28,INFINITY FINCORP SOLUTIONS PRIVATE LIMIT,Mauritius,INDIUM IV ( MAURITIUS) HOLDING LIMITED -,REGION NOT INDICATED,Activities auxiliary to financial service activities n.e.c.,0.00,0.00,
29,Aegis Customer Support Services Private,Mauritius,"Esm Holdings Limited, Mauritius",REGION NOT INDICATED,Other telecommunications activities,0.05,0.00,
30,Aizant Drug Research Solutions Private L,U.S.A,"Dr. Mohana Ramakrishna Velagapudi, Usa",REGION NOT INDICATED,Research and experimental development on natural sciences and engineering,102.65,1.59,
31,Aizant Drug Research Solutions Private L,U.S.A,"Dr. Mohana Ramakrishna Velagapudi, Usa",REGION NOT INDICATED,Research and experimental development on natural sciences and engineering,102.65,1.59,
32,Aphrodite Packaging Solutions Private Li,Netherlands,"Westrock Holdings B.V., Netherlands",REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes,
cases, carboys, bottles etc.)",0.00,0.00,
33,Aphrodite Packaging Solutions Private Li,Netherlands,Westrock Packaging Systems Netherlands B,REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",0.10,0.00,
34,Aster Dm Healthcare Ltd,UAE,"Anwar Hussain K A, Dubai",REGION NOT INDICATED,Hospital activities,0.47,0.01,
35,Aster Dm Healthcare Ltd,UAE,"Nishad Mohammed Hassanali, Dubai",REGION NOT INDICATED,Hospital activities,0.05,0.00,
36,Aster Dm Healthcare Ltd,UAE,"Nithin Das, Dubai",REGION NOT INDICATED,Hospital activities,0.29,0.00,
37,Aster Dm Healthcare Ltd,Syria,"Safwan Darwish, Syria",REGION NOT INDICATED,Hospital activities,0.12,0.00,
38,Eros International media Pvt Ltd,UAE,"Eros World wide FZ LLC 529,Building no 8",REGION NOT INDICATED,Production of motion picture,3.55,0.06,
39,SCENT ANALYSIS MAJESTIC PRIVATE LIMITED,Germany,ANALYSIS THE SCENT COMPANY INTERNATIONAL,REGION NOT INDICATED,Market research and public opinion polling,0.05,0.00,
40,AL BADR SEAFOODS PRIVATE LIMITED,Tunisia,"Al Badr SARL , TUNISIA",REGION NOT INDICATED,Processing and preserving of fish crustacean and similar foods,8.38,0.13,
41,Intime Properties Limited,Cayman Islands,"BREP Asia SBS Pearl Holding (NQ) Ltd , C",REGION NOT INDICATED,Real estate activities with own or leased property,2.04,0.03,
42,Intime Properties Limited,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,926.14,14.38,
43,Intime Properties Limited,Cayman Islands,"BREP VIII SBS Pearl Holding (NQ) Ltd , C",REGION NOT INDICATED,Real estate activities with own or leased property,1.26,0.02,
44,K.Raheja IT Park (Hyderabad) Limited,Cayman Islands,"BREP Asia SBS Pearl Holding (NQ) Ltd , C",REGION NOT INDICATED,Real estate activities with own or leased property,3.91,0.06,
45,"Xytel India Private Ltd, EL 31/34 J Bloc",U.S.A,"Xytel Inc. 4133 S Church St Ext, Roebuc",REGION NOT INDICATED,"Manufacture of other general purpose machinery n.e.c. ( fans intended for industrial applications, exhaust hoods etc.)",42.94,0.67,
46,K.Raheja IT Park (Hyderabad) Limited,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,151.22,2.35,
47,K.Raheja IT Park (Hyderabad) Limited,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,"1,117.42",17.34,
48,K.Raheja IT Park (Hyderabad) Limited,Cayman Islands,"BREP VIII SBS Pearl Holding (NQ) Ltd , C",REGION NOT INDICATED,Real estate activities with own or leased property,2.40,0.04,
49,SODECIA INDIA PRIVATE LIMITED,Portugal,"SODECIA PARTICIPACOES SOCIAIS SGPS SA ,",REGION NOT INDICATED,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road wheels, suspension etc.",3.98,0.06,
50,Sundew Properties Limited,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,3.19,0.05,
51,Sundew Properties Limited,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,11.13,0.17,
52,Sundew Properties Limited,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,14.87,0.23,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
53,Sundew Properties Limited,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,243.48,3.78,
54,Sundew Properties Limited,Cayman Islands,"BREP VIII SBS Pearl Holding (NQ) Ltd , C",REGION NOT INDICATED,Real estate activities with own or leased property,1.96,0.03,
55,Avacado Properties And Trading (India) P,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,95.49,1.48,
56,Walton Street India Finance Private Limi,U.S.A,"Nine Hundred Capital Investors I, L.P.,",REGION NOT INDICATED,"Other financial service activities, except insurance and pension funding activities, n.e.c.",3.76,0.06,
57,Hinduja Energy ( India) Limited,Mauritius,Hinduja Power Limited,REGION NOT INDICATED,Electric power generation by coal based thermal power plants,631.60,9.80,
58,Shiksha Financial Services India Private,Mauritius,"Aspada Investment Company,Mauritius",REGION NOT INDICATED,Other credit granting,1.80,0.03,
59,AD Victorium Ventures Pvt. Ltd,Germany,Lakshmi GMBH,REGION NOT INDICATED,Manufacture of wearing apparel n.e.c.,0.08,0.00,
60,Avacado Properties And Trading (India) P,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,95.49,1.48,
61,Avacado Properties And Trading (India) P,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,336.46,5.22,
62,ADANI GREEN ENERGY LIMITED,Mauritius,UNIVERSAL TRADE AND INVESTMENTS LIMITED,REGION NOT INDICATED,Electric power generation using solar energy,936.32,14.53,
63,Efkon India Private Limited,Austria,Efkon AG - Austria,REGION NOT INDICATED,Supporting services to land transport,0.00,0.00,
64,Currey Vasu India Private Limited,U.S.A,"Robert Brownlee Currey, USA",REGION NOT INDICATED,"Other financial service activities, except insurance and pension funding activities, n.e.c.",0.03,0.00,
65,Mech Mocha Game Studios Private Limited,Mauritius,"Blume Ventures Fund Ii, Mauritius",REGION NOT INDICATED,Publishing of computer games for all platforms,0.33,0.01,
66,South Kinetic Wind Energy Private Limite,Spain,"Acciona Windpower International Slu , Sp",REGION NOT INDICATED,Electric power generation using other non conventional sources,0.00,0.00,
67,Terral Energy Private Limited,Spain,"Acciona Windpower International Slu , Sp",REGION NOT INDICATED,Electric power generation using other non conventional sources,0.00,0.00,
68,Avacado Properties And Trading (India) P,Singapore,BREP Asia SG Pearl Holding (NQ) Pte. Ltd,REGION NOT INDICATED,Real estate activities with own or leased property,6.33,0.10,
