Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING JULY 2017 TO SEPTEMBER, 2017",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,PLASMA BIOTAL INDIA PVT LTD,United Kingdom,PLASMA BIOTAL LTD - UNITED KINGDOM,REGION NOT INDICATED,Manufacture of orthopedic and prosthetic devices,0.05,0.00,
2,Mn Takshila Industries Pvt Ltd,Singapore,Lc Cerestra Core Opportunities Fund Pte,REGION NOT INDICATED,Other civil engineering projects n.e.c.,0.10,0.00,
3,SB ENERGY THREE PRIVATE LIMITED,United Kingdom,"SBG CLEANTECH THREE LIMITED , LONDON",REGION NOT INDICATED,Electric power generation using solar energy,0.00,0.00,
4,SB ENERGY ONE PRIVATE,United Kingdom,"SBG CLEANTECH ONE HOLDING LIMITED , LOND",REGION NOT INDICATED,Electric power generation using solar energy,0.00,0.00,
5,Moolur Financial Services Private Limite,U.S.A,"Ambridge Inc, Usa",REGION NOT INDICATED,Management consultancy activities,0.10,0.00,
6,FAASOS Food Services Pvt Ltd office no 3,Mauritius,Sequoia Capital India Investment Holding,REGION NOT INDICATED,"Cafeterias, fast-food restaurants and other food preparation in market stalls",1.36,0.02,
7,URBANCLAP TECHNOLOGIES INDIA PRIVATE LIM,Mauritius,"SAIF PARTNERS INDIA V LIMITED, III FLOOR",REGION NOT INDICATED,Other business support service activities n.e.c.,4.73,0.07,
8,ADANI PORTS AND SPECIAL ECONOMIC ZONE LT,UAE,EMERGING MARKET INVESTMENT DMCC - UNITED,REGION NOT INDICATED,Cargo handling incidental to water transport,332.74,5.16,
9,L&T CUTTING TOOLS LIMITED,Netherlands,IMC INTERNATIONAL METALWORKING COMPANIES,REGION NOT INDICATED,"Wholesale of machinery and equipment for the textile, wood and metal industries etc.","1,759.48",27.30,
10,Patsimo Systems Private Limited,U.S.A,Invasystems Digital Llc Usa,REGION NOT INDICATED,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web- page designing",3.13,0.05,
