Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING OCTOBER 2017 TO DECEMBER, 2017",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,ESSAR POWER LTD,Mauritius,ESSAR POWER HOLDINGS LTD - MAURITIUS,REGION NOT INDICATED,"Electric power generation by non-coal based thermal (e.g. diesel, gas )","6,383.42",98.08,
2,M.R.L Posnet Private Ltd.,Singapore,Worldline IT and Payment Services (Singa,REGION NOT INDICATED,Activities auxiliary to financial service activities n.e.c.,"2,846.47",43.74,
3,M.R.L Posnet Private Ltd.,Singapore,Worldline IT and Payment Services (Singa,"REGION NOT
INDICATED",Activities auxiliary to financial service activities n.e.c.,128.49,1.97,
4,3D Technopack Private Limited,Switzerland,"Hoffmann Neopac Ag, Switzerland",REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",1.28,0.02,
5,Xerox India Limited,Netherlands,"Xerox Investments Europe B V, Netherland","REGION NOT
INDICATED","Wholesale of office machinery and equipment, except computers and
computer peripheral equipment",7.60,0.12,
6,Nilgai Foods Pvt ltd,Mauritius,Nilgai Enterprises Ltd,REGION NOT INDICATED,"Manufacture of sauces, jams, jellies and marmalades",7.60,0.12,
7,ESSAR POWER LTD,Mauritius,ESSAR POWER HOLDINGS - MAURITIUS,REGION NOT INDICATED,"Electric power generation by non-coal based thermal (e.g. diesel, gas )","6,393.88",98.24,
8,Concord Biotech Limited,Singapore,"Helix Investment Holdings Pte. Limited,",REGION NOT INDICATED,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its salts and
esters; glycosides and vegetable alka",8.59,0.13,
9,Manna Healthcare Private Limited,U.S.A,"Gurpreet Singh,USA",REGION NOT INDICATED,Telephone based information services,0.47,0.01,
10,ESSAR POWER LTD,Mauritius,ESSAR POWER HOLDINGS LTD - MAURITIUS,"REGION NOT
INDICATED","Electric power generation by non-coal based thermal (e.g. diesel, gas )","6,388.61",98.16,
11,Five-Star Business Finance Limited,Mauritius,"Norwest Venture Partners X- Mauritius,Mau",REGION NOT INDICATED,Other credit granting,75.00,1.15,
12,Nextbike One Private Limited,Germany,"Nextbike Gmbh, Germany","REGION
NOT INDICATED",Renting and leasing of recreational and sports goods,1.46,0.02,
13,ESSAR POWER LTD,Mauritius,ESSAR POWER HOLDINGS LTD - MAURITIUS,REGION NOT INDICATED,"Electric power generation by non-coal based thermal (e.g. diesel, gas )","5,257.13",80.78,
14,Five-Star Business Finance Limited,Mauritius,"Sci Investments V, Mauritius","REGION
NOT INDICATED",Other credit granting,75.00,1.15,
15,Siddhi Cotspin Private Limited,UAE,"Golden Multitrade Fzc, UAE",REGION NOT,Preparation and spinning of cotton fibre including blended cotton,27.66,0.42,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,INDICATED,,,,
16,ADANI PORTS AND SPECIAL ECONOMIC ZONE LT,UAE,EMERGING MARKET INVESTMENT DMCC - UNITED,REGION NOT INDICATED,Cargo handling incidental to water transport,192.24,2.95,
17,Reprise Media India Private Limited,Mauritius,"Interpublic Mauritius Limited , MAURITIU","REGION NOT
INDICATED",Advertising,9.57,0.15,
18,Soft Freight Logic Pvt Ltd,Sri Lanka,A I Reyaz Srilanka,REGION NOT INDICATED,Other information technology and computer service activities n.e.c,0.59,0.01,
19,Vyome Therapeutics Limited,UAE,"Vyome Therapeutics Inc, UAE","REGION
NOT INDICATED","Research and experimental
development on natural sciences and engineering",0.00,0.00,
20,LISAM SYSTEMS INDIA PVT LTD,Belgium,"LEVINTOFF THEIRRY,BELGIUM",REGION NOT INDICATED,Computer consultancy and computer facilities management activities,0.05,0.00,
21,"WOODSTOCK
AMBIENCE PRIVATE LIMITED, PLOT",Singapore,"BROAD STREET
INVESTMENTS HOLDING (SINGAP","REGION
NOT INDICATED",Worker hostels and boarding houses,29.25,0.45,
22,ADANI PORTS AND SPECIAL ECONOMIC ZONE LT,UAE,EMERGING MARKET INVESTMENT DMCC - UNITED,REGION NOT INDICATED,Cargo handling incidental to water transport,205.35,3.16,
23,ADANI POWER LTD,UAE,"EMERGING MARKET INVESTMENT DMCC -
UNITED","REGION NOT
INDICATED",Electric power generation by coal based thermal power plants,70.88,1.09,
24,M.R.L Posnet Private Ltd.,Singapore,Worldline IT and Payment Services (Singa,REGION NOT INDICATED,Activities auxiliary to financial service activities n.e.c.,197.67,3.04,
25,LOCON SOLUTIONS PRIVATE LIMITED,Singapore,ELARA TECHNOLOGIES PTE LIMITED,REGION NOT INDICATED,"Other data processing, hosting and related activities n.e.c.",7.26,0.11,
26,PERSTROP CHEMICALS INDIA PRIVATE LIMITED,Sweden,"PERSTORP AB, SE 284 80 , SWEDEN, SWEDEN",REGION NOT INDICATED,Manufacture of organic and inorganic chemical compounds n.e.c.,0.00,0.00,
27,Interglobe Technology Quotient Private L,Mauritius,"Hema Cipef (I) Limited, Mauritius",REGION NOT INDICATED,Data processing activities including report writing,"1,167.08",17.93,
28,M/S.Qps Bioserve India Pvt Ltd,Netherlands,"M/S. Xdd Acquisition B.V., Netherlands",REGION NOT INDICATED,Research and experimental development on natural sciences and engineering,10.23,0.16,
29,CHEMSPEC INDIA EXPO PRIVATE LIMITED,United Kingdom,MACK BROOKS EXHIBITIONS LIMITED,REGION NOT INDICATED,Organization of conventions and trade shows,1.79,0.03,
30,"SOLUTIONS INFINI TECHNOLOGIES
(INDIA) PR",Italy,UBIQUITY SRL (ITALY),"REGION NOT
INDICATED",Other telecommunications activities,47.05,0.72,
31,Nucetech Security Solutions Private Limi,HongKong,Nuctech Hongkong Company Limited,REGION NOT INDICATED,Security systems service activities,0.05,0.00,
32,Friend Sourcing PVT LTD,Singapore,KAF Ventures Pte Ltd,"REGION
NOT INDICATED",Other information technology and computer service activities n.e.c,0.25,0.00,
33,PRAKHHYAT INFOTECH PRIVATE,Canada,"SALIM SADRUDDIN BHERIANI , CANADA",REGION NOT,Other information technology and computer service activities n.e.c,0.41,0.01,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,LIMITED,,,INDICATED,,,,
34,FUEL CONDITIONERS INDIA PRIVATE LIMITED,Singapore,"GURBACHAN SING,SINGAPORE",REGION NOT INDICATED,"Wholesale of solid, liquid and gaseous fuels and related products",0.03,0.00,
35,Mn Bio-Technology Private Limited,Singapore,"Canton Real Estate Investments Pte Ltd,","REGION NOT
INDICATED",Other civil engineering projects n.e.c.,0.00,0.00,
36,KCG INDIA PRIVATE LIMITED,Singapore,KCG ASIA PACIFIC PTE LIMITED,REGION NOT INDICATED,"Other financial service activities, except insurance and pension funding activities, n.e.c.",354.05,5.44,
37,Faces Cosmetics India Private Limited,Canada,"Faces Cosmetics Inc., Canada","REGION
NOT INDICATED","Manufacture of cosmetics and
toileteries (includes manufacture of preshave, shaving or after shave ETC.",0.01,0.00,
38,Unbxd Software Private Limited,Mauritius,"Idg Venture India Fund Iii Llc,Mauritius",REGION NOT INDICATED,Other information technology and computer service activities n.e.c,3.29,0.05,
39,"Solutions Infini
Technologies (India) Pr",Italy,UBIQUITY SRL (ITALY),"REGION
NOT INDICATED",Other telecommunications activities,180.55,2.77,
40,SIP Global Corporate Private Limited,Indonesia,Andy Setiawan,REGION NOT INDICATED,Manufacture of `ayurvedic’ or `unani’ pharmaceutical preparation,0.07,0.00,
41,E VAIDYA PVT LTD,Singapore,"KOTAMMA GLOBAL HEALTHCARE AND
MANAGEMENT","REGION NOT
INDICATED","Other human health activities n.e.c. (including independent ambulance
activities)",25.28,0.39,
42,RA CHEM PHARMA LTD,Netherlands,ORCHEM INTERNATIONAL TRADING BV - NETHER,REGION NOT INDICATED,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, r etc.",22.57,0.35,
43,ADVINUS THERAPEUTICS LIMITED,Luxembourg,EUROFINS PHARMA SERVICES LUX HOLDING SAR,REGION NOT INDICATED,Technical testing and analysis,593.25,9.12,
44,Awfis Space Solutions Private Limited,Mauritius,"Sci Investment V, Mauritius",REGION NOT INDICATED,Real estate activities with own or leased property,229.99,3.53,
45,Manipal Health Enteprises Private Limite,Singapore,Imperius Healthcare Investments Pte Limi,REGION NOT INDICATED,Hospital activities,"2,806.60",43.12,
46,SMARTPIPE SOLUTIONS INDIA PRIVATE LIMITE,U.S.A,SMARTPIPE HOLDINGS LIMITED (UNITED KINGD,REGION NOT INDICATED,"Other data processing, hosting and related activities n.e.c.",0.10,0.00,
47,Mahindra Insurance Brokers Limited,Singapore,Inclusion Resources Private Limited (SIN,REGION NOT INDICATED,Activities of insurance agents and brokers,650.00,9.99,
48,RA CHEM PHARMA LTD,Canada,1575773 ONTARIO INC - CANADA,"REGION NOT
INDICATED","Manufacture of medicinal substances used in the manufacture of
pharmaceuticals: antibiotics, r etc.",22.48,0.35,
49,ADVINUS THERAPEUTICS LIMITED,Luxembourg,EUROFINS PHARMA SERVICES LUX HOLDING SAR,REGION NOT INDICATED,Technical testing and analysis,364.08,5.59,
50,"Manipal Health
Enteprises Private Limite",Singapore,"Imperius Healthcare Investments Pte Ltd,","REGION
NOT INDICATED",Hospital activities,"1,122.64",17.25,
51,Manna Healthcare Private Limited,U.S.A,"Gurpreet Singh,USA",REGION NOT,Telephone based information services,0.04,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,INDICATED,,,,
52,ADANI PORTS AND SPECIAL ECONOMIC ZONE LT,UAE,EMERGING MARKET INVESTMENT DMCC - UNITED,REGION NOT INDICATED,Cargo handling incidental to water transport,77.75,1.19,
53,"CARMAGIC SOFTWARE INDIA
PRIVATE LIMITED",Germany,"CAROOBI GmbH ULLSTEINSTRASSE 114-142,
GE","REGION NOT
INDICATED",Providing software support and maintenance to the clients,0.06,0.00,
54,EY Global Delivery Services India Privat,United Kingdom,EY GDS India Holding Company Limited (UN,REGION NOT INDICATED,Other business support service activities n.e.c.,199.98,3.07,
55,BSE LIMITED,Mauritius,VARIOUS BUYERS UNDER INITIAL PUBLIC OFFE,"REGION
NOT INDICATED",Administration of financial markets,9.29,0.14,
56,ADVINUS THERAPEUTICS LIMITED,Luxembourg,EUROFINS PHARMA SERVICES LUX HOLDING SAR,REGION NOT INDICATED,Technical testing and analysis,165.67,2.55,
57,Manna Healthcare Private Limited,U.S.A,"Gurpreet Singh,USA","REGION
NOT INDICATED",Telephone based information services,0.66,0.01,
58,Zoloz Software Solutions India Private L,Singapore,"Zoloz Pte. Ltd., Singapore",REGION NOT INDICATED,Other information technology and computer service activities n.e.c,0.10,0.00,
59,Infinite Uptime India Pvt Ltd,U.S.A,"Infinite Uptime Inc, USA","REGION NOT
INDICATED",Other information technology and computer service activities n.e.c,0.12,0.00,
60,Vyome Therapeutics Limited,UAE,"Vyome Therapeutics Inc, UAE",REGION NOT INDICATED,Research and experimental development on natural sciences and engineering,0.00,0.00,
61,ADANI PORTS AND SPECIAL ECONOMIC ZONE LT,UAE,EMERGING MARKET INVESTMENT DMCC - UNITED,REGION NOT INDICATED,Cargo handling incidental to water transport,154.69,2.38,
62,Aring Prodev Private Limited,Switzerland,Mane Sa Switzerland,REGION NOT INDICATED,Grinding and processing of spices,0.10,0.00,
63,Vyome Therapeutics Limited,UAE,"Vyome Therapeutics Inc, UAE",REGION NOT INDICATED,Research and experimental development on natural sciences and engineering,0.00,0.00,
64,ADANI PORTS AND SPECIAL ECONOMIC ZONE LT,UAE,EMERGING MARKET INVESTMENT DMCC - UNITED,REGION NOT INDICATED,Cargo handling incidental to water transport,232.82,3.58,
65,Vyome Therapeutics Limited,UAE,"Vyome Therapeutics Inc, UAE",REGION NOT INDICATED,Research and experimental development on natural sciences and engineering,0.00,0.00,
