Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING APRIL 2018 TO JUNE, 2018",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,DIA VIKAS CAPITAL PVT LTD,Australia,OPPORTUNITY INTERNATIONAL AUSTRALIA LTD,NEW DELHI,"Other financial service activities, except insurance and pension funding activities, n.e.c.",104.41,1.59,
2,FANEM MEDICAL DEVICES INDIA PRIVATE LTD,Brazil,FANEM LTDA,BANGALORE,Manufacture of other medical and dental instruments n.e.c.,26.03,0.40,
3,HUBERT BURDA MEDIA INDIA PVT LTD,Germany,BURDA GESELLESCHAFT MIT BESCHRAENKTER HA,NEW DELHI,Publishing of journals and periodicals,56.04,0.83,
4,ICICI BANK LTD.,HongKong,BHYJU KANAMKANDY,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.47,0.01,
5,BF ELBIT ADVANCED SYSTEMS PVT LTD,Israel,ELBIT SYSTEMS LAND AND C41 LTD,MUMBAI,Manufacture of weapons and ammunition,9.61,0.14,
6,RYOHIN-KEIKAKU RELIANCE INDIA PVT LTD,Japan,RYOKIN KEIKAKU CO. LTD,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",30.60,0.45,
7,"JAPANESE STANDARD
PROCESSING PRIVATE LIM",Japan,SUB HIROHAMA CORPORATION,NEW DELHI,"Mutton-slaughtering, preparation",2.11,0.03,
8,CNI ENTERPRISE (INDIA) PVT. LTD.,Malaysia,CNI CORPORATION SDN BHD,BANGALORE,Wholesale of other basic/manufactured food stuffs n.e.c.,1.28,0.02,
9,AMAZON RETAIL INDIA PRIVATE LIMITED,Mauritius,AMAZON.COM INCS LTD,NEW DELHI,"Retail sale of cereals and pulses, tea, coffee, spices and flour",1.05,0.02,
10,UNIQUEST INFRA VENTURES PVT,Mauritius,GHIR INVESTMENTS (MAURITIUS) LTD,NEW DELHI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",21.64,0.32,
11,AKORN INDIA PVT LTD,Mauritius,WORLDAKORN PHARMA MAURITIUS,NEW DELHI,Manufacture of allopathic pharmaceutical preparations,384.00,5.66,
12,CHUMBAK DESIGN PRIVATE LIMITED,Mauritius,GCFII-A,BANGALORE,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",5.71,0.09,
13,CHUMBAK DESIGN PRIVATE LIMITED,Mauritius,GCFII-A,BANGALORE,"Retail sale of readymade garments,
hosiery goods, other articles of clothing and clothing accessories",279.26,4.25,
14,RELIANCE VISION EXPRESS PVT LTD,Netherlands,GRANDVISION INDIA BV,MUMBAI,"Retail sale of photographic, optical and precision equipment",25.00,0.37,
15,SUN PHARMACEUTICAL INDUSTRIES LIMITED,Oman,SWAMINATHAN SELLAPA,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.18,0.00,
16,STELIS BIOPHARMA PVT LTD,Singapore,GMS PHARMA (SINGAPORE) PTE LTD,BANGALORE,Research and experimental development on natural sciences and engineering,182.00,2.68,
17,BEST UNITED INDIA COMFORTS PVT LTD,Singapore,BESTSELLER UNITED SINGAPORE PTE LTD,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of
clothing and clothing accessories",600.20,8.85,
18,TELENOR(INDIA) COMUNICATIONS PVT,Singapore,TELENOR SOUTH ASIA INVESTMENT PTE LTD,NEW DELHI,"Activities of maintaining and operating pageing, cellur and other","18,954.95",280.65,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,LTD(TEL,,,,tetecommunication networks,,,
19,STELIS BIOPHARMA PVT LTD,Singapore,GMS PHARMA (SINGAPORE) PTE LTD,BANGALORE,"Research and experimental development on natural sciences and
engineering",130.66,1.93,
20,TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,Singapore,APHV INDIA INVESTCO PVT LTD,NEW DELHI,Activities of holding companies,70.56,1.07,
21,TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,Singapore,AAPC SINGAPORE PTE LTD,NEW DELHI,Activities of holding companies,62.72,0.96,
22,BHARTI TELECOM LTD.,Singapore,SINGTEL INTERNATIONAL INVESTMENT PVT LTD,NEW DELHI,Activities of Internet access by the operator of the wireless infrastructure,"26,489.50",403.58,
23,AMAZON RETAIL INDIA PRIVATE LIMITED,Singapore,AMAZON CORPORATE HOLDINGS PVT LTD,NEW DELHI,"Retail sale of cereals and pulses, tea, coffee, spices and flour",103.95,1.53,
24,TELENOR(INDIA) COMUNICATIONS PVT LTD(TEL,Singapore,TELENOR SOUTH ASIA INVESTMENT PTE LTD,NEW DELHI,"Activities of maintaining and operating pageing, cellur and other tetecommunication networks","14,660.00",216.25,
25,"TELENOR(INDIA)
COMUNICATIONS PVT LTD(TEL",Singapore,TELENOR SOUTH ASIA INVESTMENT PTE LTD,NEW DELHI,"Activities of maintaining and operating
pageing, cellur and other tetecommunication networks","41,000.00",607.05,
26,BIOSYSTEMS DIAGNOSTICS PRIVATE LIMITED,Spain,Biosystems S.A,CHENNAI,"Manufacture of various other chemical products n.e.c.(antiknock preparations, anti-freeze preparations,",0.91,0.01,
27,MASSIMO DUTTI INDIA PRIVATE LIMITED,Spain,GRUPO MASSIMO DUTTI S.A.,NEW DELHI,"Retail sale of readymade garments,
hosiery goods, other articles of clothing and clothing accessories",76.50,1.13,
28,AXIS BANK LIMITED,Sri Lanka,MANOJ KUMAR,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.40,0.01,
29,ICICI BANK LTD.,UAE,RAGHVENDRA SHENOY,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.70,0.01,
30,ICICI BANK LTD.,UAE,RAGHVENDRA SHENOY,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.55,0.01,
31,ICICI BANK LTD.,UAE,VIKASH SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",2.35,0.04,
32,ICICI BANK LTD.,UAE,RAGHVENDRA SHENOY,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",1.01,0.02,
33,AXIS BANK LIMITED,United Kingdom,NARASIMHAN BALASUBRAMANIAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.43,0.01,
34,ICICI BANK LTD.,United Kingdom,SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",6.73,0.10,
35,ICICI BANK LTD.,United Kingdom,SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks.",6.73,0.10,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,postal savings bank and discount houses,,,
36,ICICI BANK LTD.,United Kingdom,SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",2.90,0.04,
37,AXIS BANK LIMITED,United Kingdom,NARASIMHAN BALASUBRAMANIAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.35,0.01,
38,"IAPMO PLUMBING CODES & STANDARDS
INDIA P",U.S.A,"INTERNATIONAL ASSOCIATION OF
PLUMBING AN",BANGALORE,Technical testing and analysis,21.59,0.32,
39,IAPMO PLUMBING CODES & STANDARDS INDIA P,U.S.A,INTERNATIONAL ASSOCIATION OF PLUMBING AN,BANGALORE,Technical testing and analysis,2.00,0.03,
40,AIRIS PHARMA PVT LTD,U.S.A,Kishore Kumar Ganji,HYDERABAD,"Research and experimental development on natural sciences and
engineering",0.94,0.01,
41,AIRIS PHARMA PVT LTD,U.S.A,Kishore Kumar Ganji,HYDERABAD,Research and experimental development on natural sciences and engineering,4.00,0.06,
42,AIRIS PHARMA PVT LTD,U.S.A,Mohan R Patalolla,HYDERABAD,"Research and experimental
development on natural sciences and engineering",13.39,0.20,
43,AIRIS PHARMA PVT LTD,U.S.A,Kishore Kumar Gani,HYDERABAD,Research and experimental development on natural sciences and engineering,11.00,0.17,
