Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING JULY 2019 TO SEPTEMBER 2019",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,P C FINANCIAL SERVICES PRIVATE LIMITED,HongKong,TenSpot Pesa Limited,REGION NOT INDICATED,"Other financial service activities, except insurance and pension funding activities, n.e.c.",0.00,0.00,
2,GRAND ORGANICS PRIVATE LIMITED,U.S.A,HARCROS (INDIA) LLC,REGION NOT INDICATED,"Manufacture of liquefied or compressed inorganic industrial or medical gases (elemental gases,liquid or compressed air, refrigerant gases, mixed industrial
gases etc.)",8.41,0.12,
3,Enzen Global Solutions Private Limited,Cayman Islands,GPC EIV Ltd,REGION NOT INDICATED,Management consultancy activities,36.84,0.54,
4,PARVATA FOODS PVT LTD,U.S.A,"ROUNDGLASS PARTNERS LLC, USA",REGION NOT INDICATED,"Cotton ginning, cleaning and bailing",2.03,0.03,
5,ICE Creative Excellence Private Limited,Kenya,Hanif Hassanali Devji,REGION NOT INDICATED,Other educational services n.e.c.,4.30,0.06,
6,AGL PANARIA PVT LTD,Italy,PANARIAGROUP INDUSTRIE CERAMICHE S.P.A.,REGION NOT INDICATED,Other non-specialised wholesale trade n.e.c.,4.00,0.06,
7,SOLUTIONS INFINI TECHNOLOGIES INDIA PRIV,Italy,Kaleyra SPA (formerly known as Ubiquity,REGION NOT INDICATED,Other telecommunications activities,162.40,2.28,
8,AGILE ELECTRIC SUB ASSEMBLY PRIVATE LIMI,Japan,Igarashi Electric Works Limited,REGION NOT INDICATED,Manufacture of electric motors (except internal combustion engine starting motors),"1,481.76",20.77,
9,SOLUTIONS INFINI TECHNOLOGIES INDIA PRIV,Italy,Kaleyra SPA (formerly known as Ubiquity,REGION NOT INDICATED,Other telecommunications activities,40.06,0.56,
10,Roppen Transportation Services Private L,Cayman Islands,Integrated Capital Growth Limited,REGION NOT INDICATED,Car parking including motorcycle and bicycle parking,5.04,0.07,
11,Roppen Transportation Services Private L,Cayman Islands,Integrated Capital Growth Limited,REGION NOT INDICATED,Car parking including motorcycle and bicycle parking,0.06,0.00,
12,"GOOD LUCK VEHICLE INDUSTRY PRIVATE
LIMIT",China,SHEN WEI,"REGION NOT
INDICATED","Manufacture of motorcycles, scooters, mopeds etc. and their engine",0.01,0.00,
13,CELEBI NAS AIRPORT SERVICES INDIA PRIVAT,Turkey,Celebi Hava Servisi Anonim Sirketi,REGION NOT INDICATED,"Activities related to air transport of passengers, animals or freight",61.71,0.87,
14,ITAL BEAUTY NIPPERS (INDIA) PRIVATE LIMI,Germany,ZWILLING BEAUTY GROUP GMBH,REGION NOT INDICATED,Manufacture of other fabricated metal products n.e.c.,0.51,0.01,
15,NOCON SOLUTIONS PRIVATE LIMITED,U.S.A,Binoy Cherian,REGION NOT INDICATED,Other information technology and computer service activities n.e.c,0.20,0.00,
16,Soothe Healthcare Private Limited,Singapore,Britten Holdings Pte Ltd,REGION NOT INDICATED,Manufacture of wadding of textile materials and articles of wadding such as sanitary napkins and tampons,27.05,0.38,
17,TESRAKT CLOUD TECHNOLOGIES PRIVATE LIMIT,U.S.A,JOURNEY SALES INC.,REGION NOT INDICATED,Other information technology and computer service activities n.e.c,0.10,0.00,
18,Nichino India Private Limited,Japan,Nihon Nohyaku Co. Ltd,REGION NOT INDICATED,Manufacture of pesticides and other agrochemical products,2.34,0.03,
19,SBE RENEWABLES TWENTY ONE PRIVATE,United Kingdom,SBE Twenty One Limited,REGION NOT,Electric power generation using solar energy,0.00,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,LIMITE,,,INDICATED,,,,
20,PURPLE FRAME TECHNOLOGIES PRIVATE LIMITE,U.S.A,TalentQuest LLC,REGION NOT INDICATED,Other information technology and computer service activities n.e.c,1.02,0.01,
21,CASHWAGON INDIA PRIVATE LIMITED,Singapore,CASHWAGON PTE LTD,REGION NOT INDICATED,Activities of head offices,0.10,0.00,
22,BLUE JAY FINLEASE LIMITED,Mauritius,SAIF Partners India VI Limited,REGION NOT INDICATED,"Other financial service activities, except insurance and pension funding activities, n.e.c.",4.21,0.06,
23,VEGA CONVEYORS AND AUTOMATION PRIVATE LI,Japan,DAIFUKU BUSINESS SERVICE CORPORATION,REGION NOT INDICATED,Manufacture of other lifting and handling equipment and parts thereof,0.05,0.00,
24,Captiva Energy Solutions Private limited,Spain,Pramac Iberica S.A.U,REGION NOT INDICATED,"Manufacture of power generators (except battery charging alternators for internal
combustion engines), motor generator sets (except turbine generator set units)",36.65,0.51,
25,Schaffner India Private Limited,Switzerland,Schaffner EMV AG,REGION NOT INDICATED,Architectural and engineering activities and related technical consultancy,0.50,0.01,
26,GOKALDAS INTIMATEWEAR PRIVATE LIMITED,Cyprus,VARENNA HOLDINGS LIMITED,REGION NOT INDICATED,Manufacture of all types of textile garments and clothing accessories,641.28,8.99,
27,Apex Techno Polymer Pvt Ltd,Belgium,RAVAGO DISTRIBUTIION SA,REGION NOT INDICATED,Wholesale of plastic materials in primary forms,4.17,0.06,
28,VEGA CONVEYORS AND AUTOMATION PRIVATE LI,Japan,"DAIFUKU CO., LTD.",REGION NOT INDICATED,Manufacture of other lifting and handling equipment and parts thereof,61.59,0.86,
29,GOKALDAS INTIMATEWEAR PRIVATE LIMITED,Cyprus,VARENNA HOLDINGS LIMITED,REGION NOT INDICATED,Manufacture of all types of textile garments and clothing accessories,798.19,11.19,
30,SOLBRIDGE ENERGY PRIVATE LIMITED,Singapore,Amplus Energy Solutions Pte. Ltd.,REGION NOT INDICATED,Electric power generation using solar energy,0.10,0.00,
31,INDIABULLS INFRASTRUCTURE LIMITED,Cayman Islands,"BREP Asia II SBS
Chennai Holding (NQ) Lt",REGION NOT INDICATED,Construction of buildings carried out on own-account basis or on a fee or contract basis,17.72,0.25,
32,Seven Islands Shipping Limited,Mauritius,FIH Mauritius Investments Ltd,REGION NOT INDICATED,Sea and coastal freight water transport,25.27,0.35,
33,Drums Food International Private Limited,Cayman Islands,Mousserena L.P.,REGION NOT INDICATED,"Manufacture of ice-cream, kulfi etc.",42.96,0.60,
34,"EPOWERX LEARNING TECHNOLOGIES
PRIVATE LI",U.S.A,"M/s. Skill-Lync, Inc.","REGION NOT
INDICATED",Web hosting activities,0.08,0.00,
35,ROBERT BOSCH AUTOMOTIVE STEERING PRIVATE,Germany,Robert Bosch Automotive Steering GmbH,REGION NOT INDICATED,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles,road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, ste",625.00,8.76,
