Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER APPROVAL ROUTE
RECEIVED DURING JANUARY 2019 TO MARCH 2019",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,EXCITEL BROADBAND PRIVATE LIMITED,Bulgaria,Intertainment Services JSCo,NEW DELHI,Activities of providing internet access by the operator of the wired infrastructure,160.00,2.30,
2,Axis Bank Limited,Canada,Sanjeev Kumar Gupta,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.44,0.02,
3,Axis Bank Limited,Canada,Sanjeev Kumar Gupta,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",2.31,0.03,
4,Axis Bank Limited,Canada,Sanjeev Kumar Gupta,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.73,0.02,
5,Axis Bank Limited,Canada,Sanjeev Kumar Gupta,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",3.47,0.05,
6,HUBERT BURDA MEDIA INDIA PRIVATE LIMITED,Germany,BURDA GESELLSCHAFT MIT BESCHRAENKTER HAF,REGION NOT INDICATED,Publishing of journals and periodicals,47.73,0.67,
7,"MERCK SPECIALITIES
PRIVATE LIMITED",Germany,Merck Holding GmbH,MUMBAI,Wholesale of pharmaceutical and medical goods,"6,781.47",95.87,
8,INDIANART FURNITURES PVT. LTD.,Germany,Satpal Singh Bhasin,JAIPUR,Manufacture of furniture made of wood,10.00,0.14,
9,"SOLARARISE INDIA
PROJECTS PRIVATE LIMITE",Germany,ThomasLloyd Cleantech Infrastructure Hol,NEW DELHI,Activities of holding companies,558.46,7.84,
10,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Germany,ThomasLloyd Cleantech Infrastructure Hol,NEW DELHI,Activities of holding companies,0.39,0.01,
11,"SOLARARISE INDIA PROJECTS PRIVATE
LIMITE",Germany,ThomasLloyd Cleantech Infrastructure Hol,NEW DELHI,Activities of holding companies,181.15,2.54,
12,WACOAL INDIA PRIVATE LIMITED,HongKong,WACOAL INTERNATIONAL HONG KONG COMPANY L,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.",25.50,0.37,
13,Axis Bank Limited,HongKong,Rachit Bhatia,AHMEDABAD,"Monetary intermediation of commercial
banks, saving banks. postal savings bank and discount houses",0.46,0.01,
14,WAYCOOL FOODS AND PRODUCTS PRIVATE LIMIT,Luxembourg,LIGHTSTONE FUND S A RAIF,CHENNAI,Wholesale of fruits and vegetables,0.43,0.01,
15,"WAYCOOL FOODS AND PRODUCTS
PRIVATE LIMIT",Luxembourg,LIGHTSTONE FUND S A RAIF,CHENNAI,Wholesale of fruits and vegetables,324.57,4.56,
