Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING JANUARY 2019 TO MARCH 2019",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
1,BYGGING INDIA LTD,Spain,GLOBAL DOMINION ACCAESS S.A.,REGION NOT INDICATED,Other specialized construction activities,25.91,0.37,
2,Triveni Aeronautics Private Limited,Canada,Magellan Aerospace Limited,REGION NOT INDICATED,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks, nacelles, airscrews, he",8.25,0.12,
3,Paryapt Solar Energy Private Limited,HongKong,UPC Solar Asia Pacific Limited,REGION NOT INDICATED,Electric power generation using solar energy,0.1,0,
4,Bhagwat Metallics Limited,Mauritius,Essar Ports and Shipping Limited,REGION NOT INDICATED,Wholesale of metals and metal ores,21.3,0.31,
5,Geokul India Private Limited,Malta,Geokul Limited,REGION NOT INDICATED,Providing software support and maintenance to the clients,0.05,0,
6,KAMA AYURVEDA PRIVATE LIMITED,Switzerland,PUIG INTERNATIONAL SA,REGION NOT INDICATED,"Manufacture of cosmetics and toileteries (includes manufacture of pre-shave, shaving or after shave preparations; personal deodorants and anti-respirants; perfumed bath bath
salts and other bath prepa","1,233.16",17.75,
7,DEXTRA CREATIVE SERVICES PRIVATE LIMITED,U.S.A,Dextra Arts Inc.,REGION NOT INDICATED,Other creative arts and entertainment activities,0.1,0,
8,Bhagwat Metallics Limited,Mauritius,Essar Ports and Shipping Limited,"REGION NOT
INDICATED",Wholesale of metals and metal ores,21.83,0.31,
9,THINKSYS SOFTWARE PRIVATE LIMITED,U.S.A,Thinksys INC,REGION NOT INDICATED,Providing software support and maintenance to the clients,19.57,0.28,
10,Tavisca Solutions Private Limited,U.S.A,Affinion Group Inc,"REGION
NOT INDICATED","Other data processing, hosting and related activities n.e.c.",40.59,0.58,
11,CHUANGJIA MECHANICAL AND ELECTRICAL INDI,HongKong,Bright Master Industrial Limited,REGION NOT INDICATED,"Manufacture of other general purpose machinery n.e.c. (fans intended for industrial applications,exhaust hoods for commercial, laboratory or industrial use; calendering or other rolling machines othe",0,0,
12,Defrag Software Labs Private Limited,U.S.A,Ravi Rangasami,"REGION
NOT INDICATED",Providing software support and maintenance to the clients,0.21,0,
13,Triveni Aeronautics Private Limited,Canada,Magellan Aerospace Limited,REGION NOT INDICATED,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control
surfaces, landing gear, fuel tanks,",69.06,0.99,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,"nacelles, airscrews, he",,,
