Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER APPROVAL ROUTE
RECEIVED DURING OCTOBER 2018 TO DECEMBER, 2018",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,HUBERT BURDA MEDIA INDIA PRIVATE LIMITED,Germany,BURDA GESELLSCHAFT MIT BESCHRAENKTER HAF,NEW DELHI,Publishing of journals and periodicals,25.33,0.36,
2,Diesel Fashion India Reliance Private Li,Italy,Diesel S.p.A,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.",63.75,0.89,
3,PRATHAM MOTORS PVT LTD,Kuwait,Shivy Bhasin,NEW DELHI,"Wholesale and retail sale of new vehicles (passenger motor vehicles,
ambulances, minibuses, jeeps, trucks,",6.25,0.09,
4,TINNA OIL & CHEMICALS LIMITED,Mauritius,ADM INTEROCEANIC LIMITED,NEW DELHI,Manufacture of vegetable oils and fats excluding corn oil,95.45,1.33,
5,Akorn India Private Limited,Mauritius,WORLDAKORN PHARMA MAURITIUS,NEW DELHI,Manufacture of ayurvedic or unani pharmaceutical preparation,352.50,4.91,
6,THE CATHOLIC SYRIAN BANK LIMITED,Mauritius,FIH MAURITIUS INVESTMENTS LTD,KOCHI,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses","4,416.07",61.46,
7,Tikona Infinet Private Limited,Mauritius,Global Long short Partners Mauririus IV,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,11.12,0.15,
8,Tikona Infinet Private Limited,Mauritius,Green Lotus Limited,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,25.68,0.35,
9,Tikona Infinet Private Limited,Mauritius,Global Long short Partners Mauririus IV,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,0.06,0.00,
10,Tikona Infinet Private Limited,Mauritius,Global Long short Partners Mauririus IV,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,0.05,0.00,
11,Tikona Infinet Private Limited,Mauritius,Green Lotus Limited,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,0.53,0.01,
12,Tikona Infinet Private Limited,Mauritius,Green Lotus Limited,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,0.04,0.00,
