Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING JANUARY 2020 TO MARCH 2020",,,,,,,,,,
(Amount in millions),,,,,,,,,,
Sr.No.,Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs.,In US$,,
1,1HEALTH INTEGRATED SERVICES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,SCALEVENTURES LLC,U.S.A,0.70,0.01,Received in the company,
2,1HEALTH INTEGRATED SERVICES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,SCALEVENTURES LLC,U.S.A,5.25,0.07,Received in the company,
3,1HEALTH INTEGRATED SERVICES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,SCALEVENTURES LLC,U.S.A,0.63,0.01,Received in the company,
4,36 CONSTRUCTIONS PRIVATE LIMITED,DELHI,South West Delhi,Construction of buildings carried out on own- account basis or on a fee or contract basis,36 CORPORATION,Vietnam,0.04,0.00,Received in the company,
5,63IDEAS INFOLABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Steadview Capital Mauritius Limited,Mauritius,0.30,0.00,Received in the company,
6,63IDEAS INFOLABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Steadview Capital Mauritius Limited,Mauritius,0.30,0.00,Received in the company,
7,63IDEAS INFOLABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Steadview Capital Mauritius Limited,Mauritius,0.30,0.00,Received in the company,
8,91Streets Media Technologies Private Limited,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Lightstone Fund S.A.,Luxembourg,24.72,0.35,Received in the company,
9,AAA SALT AND CHEMICALS PRIVATE LIMITED,GUJARAT,Surat,Salt production by evaporation of sea water or other saline waters,HORACE INVESTMENT PTE LTD,Singapore,2.52,0.04,Received in the company,
10,AAA SALT AND CHEMICALS PRIVATE LIMITED,GUJARAT,Surat,Salt production by evaporation of sea water or other saline waters,HORACE INVESTMENT PTE LTD,Singapore,2.52,0.04,Received in the company,
11,Aadhar Housing Finance Limited,KARNATAKA,Bengaluru,Other credit granting,BCP Topco VII Pte. Ltd,Singapore,32.93,0.46,Received in the company,
12,ABC RENEWABLE ENERGY PRIVATE LIMITED,TELANGANA,Hyderabad,Electric power generation by hydroelectric power plants,BIF III FVCI Holdings India I Pte. Ltd,Singapore,0.05,0.00,Received in the Company,
13,ABDULRAHMAN ALAJEEL PRIVATE LIMITED,KERALA,Wayanad,Manufacture of chocolate and chocolate confectionery,ABDULRAHMAN ABDULQADER DHAHI ALAJEEL ALASKAR,Kuwait,0.05,0.00,Received in the Company,
14,ACENDRE INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Acendre Pty Ltd,Australia,1.56,0.02,Received in the Company,
15,ACHIREUM PRIVATE LIMITED,TAMIL NADU,Chennai,Tour operator activities,Mr. Bathumalai Krishnan,U.S.A,0.05,0.00,Received in the Company,
16,Adam Smith Commodities Private Limited,DELHI,Central Delhi,Wholesale of cereals and pulses,Marcus David Ackroyd Wade,UAE,0.00,0.00,Received in the company,
17,Adam Smith Commodities Private Limited,DELHI,Central Delhi,Wholesale of cereals and pulses,Marcus David Ackroyd Wade,UAE,3.00,0.04,Received in the company,
18,ADANI GAS LIMITED,GUJARAT,Ahmedabad,Distribution and sale of gaseous fuels through mains,Total Holdings SAS,France,752.33,10.12,Received in the Company,
19,ADANI GAS LIMITED,GUJARAT,Ahmedabad,Distribution and sale of gaseous fuels through,Total Holdings SAS,France,50906.89,684.69,Received in the,
Sr.No.,Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs.,In US$,,
,,,,mains,,,,,Company,
20,ADANI GAS LIMITED,GUJARAT,Ahmedabad,Distribution and sale of gaseous fuels through mains,Total Holdings SAS,France,0.09,0.00,Received in the Company,
21,ADGLOBAL360 INDIA PRIVATE LIMITED,DELHI,North West Delhi,"Other data processing, hosting and related activities n.e.c.",Hakuhodo Investment Singapore Pte. Ltd,Singapore,4.50,0.06,Received in the Company,
22,ADGLOBAL360 INDIA PRIVATE LIMITED,DELHI,North West Delhi,"Other data processing, hosting and related activities n.e.c.",Hakuhodo Investment Singapore Pte Ltd,Singapore,17.06,0.23,Received in the Company,
23,ADHIKOSH FINANCIAL ADVISORY PRIVATE LIMITED,HARYANA,Panchkula,Other information technology and computer service activities n.e.c,ADHIKOSH INC,U.S.A,0.05,0.00,Received in the company,
24,ADHIKOSH FINANCIAL ADVISORY PRIVATE LIMITED,HARYANA,Panchkula,Other information technology and computer service activities n.e.c,ADHIKOSH INC,U.S.A,0.05,0.00,Received in the company,
25,ADMI Promotions Private Limited,UTTAR PRADESH,Gautam Buddha Nagar,Other non-specialised wholesale trade n.e.c.,ADM (Group) Limited,United Kingdom,0.72,0.01,Received in the Company,
26,"ADVANCED MONOLITHIC POWER
SEMICONDUCTOR PRIVATE LIMITED",KARNATAKA,Bengaluru,Research and experimental development on natural sciences and engineering,SUCCESSFUL APEX LIMITED,HongKong,0.10,0.00,Received in the Company,
27,AEQUS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks,
nacelles, airscrews, he",Aequs Manufacturing Investments Private Limited,Mauritius,71.04,0.96,Received in the Company,
28,AEQUS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks,
nacelles, airscrews, he",Andrew David Buchan,U.S.A,2.00,0.03,Received in the Company,
29,AGARSHA SENIOR CARE PRIVATE LIMITED,HARYANA,Gurgaon,Nursing care facilities,Agarsha Senior Care LLC,U.S.A,50.00,0.67,Received in the Company,
30,Agricrest Investment Advisors Private Limited,MAHARASHTRA,Mumbai,Activities auxiliary to financial service activities n.e.c.,Growco Limited,Mauritius,0.05,0.00,Received in the company,
31,Agricrest Investment Advisors Private Limited,MAHARASHTRA,Mumbai,Activities auxiliary to financial service activities n.e.c.,Growco Limited,Mauritius,0.05,0.00,Received in the company,
32,Agristo Masa Private Limited,UTTAR PRADESH,"Gautam Buddha
Nagar",Manufacture of potato flour and meals and prepared meals of vegetables,IMSTO NV,Belgium,0.01,0.00,Received in the company,
33,AKARA CAPITAL ADVISORS PRIVATE LIMITED,DELHI,South Delhi,Financial leasing,MORUS TECHNOLOGIES PTE. LTD.,Singapore,419.99,5.65,Received in the Company,
