Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING OCTOBER 2019 TO DECEMBER 2019",,,,,,,,,,
,,,,,,,,(Amount in millions),,
Sr.No.,Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Investment Type,
,,,,,,,Rs.,US$,,
1,"""CHEMIPRIME IMPEX PRIVATE LIMITED """,MAHARASHTRA,Mumbai,"Wholesale of solid, liquid and gaseous fuels and related products",Unipian Holdings,UAE,0.05,0.00,"Received in the
Company",
2,"1HEALTH INTEGRATED
SERVICES PRIVATE LIMITED",MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,SCALEVENTURES LLC,U.S.A,4.02,0.06,"Received in
the Company",
3,1HEALTH INTEGRATED SERVICES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,SCALEVENTURES LLC,U.S.A,5.62,0.08,Received in the Company,
4,"1HEALTH INTEGRATED
SERVICES PRIVATE LIMITED",MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Srinivas Vasireddy,U.S.A,0.00,0.00,"Received in
the Company",
5,63IDEAS INFOLABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Steadview Capital Mauritius Limited,Mauritius,0.61,0.01,"Received in
the Company",
6,63IDEAS INFOLABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Steadview Capital Mauritius Limited,Mauritius,1.52,0.02,"Received in the
company",
7,63IDEAS INFOLABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Steadview Capital Mauritius Limited,Mauritius,3.65,0.05,"Received in the
company",
8,63IDEAS INFOLABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Steadview Capital Mauritius Limited,Mauritius,0.91,0.01,"Received in the
Company",
9,63IDEAS INFOLABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Steadview Capital Mauritius Limited,Mauritius,0.91,0.01,Received in the company,
10,63IDEAS INFOLABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Steadview Capital Mauritius Limited,Mauritius,1.52,0.02,Received in the company,
11,63IDEAS INFOLABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Steadview Capital Mauritius Limited,Mauritius,1.52,0.02,Received in the,
Sr.No.,Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Investment Type,
,,,,,,,Rs.,US$,,
,,,,,,,,,company,
12,63IDEAS INFOLABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Steadview Capital Mauritius Limited,Mauritius,0.91,0.01,Received in the Company,
