Table No. 19 (c),,,,,,,,,,
"STATEMENT ON REMITTANCE-WISE OF FDI EQUITY INFLOWS UNDER RBI’s AUTOMATIC ROUTE
RECEIVED DURING APRIL 2020 TO JUNE 2020",,,,,,,,,,
(Amount in millions),,,,,,,,,,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Investment Type,
,,,,,,,In Rs,In US$,,
1,21CC VISHWA SARVAGANA PRIVATE LIMITED,MAHARASHTRA,Mumbai,OTHER EDUCATIONAL SERVICES N.E.C.,LOEK POSITIVE B.V.,Netherland,0.04,0.00,Received in the company,
2,"21CC VISHWA SARVAGANA PRIVATE
LIMITED",MAHARASHTRA,Mumbai,OTHER EDUCATIONAL SERVICES N.E.C.,HR L TIEMAN,Thailand,0.04,0.00,"Received in the
company",
3,"21CC VISHWA SARVAGANA PRIVATE
LIMITED",MAHARASHTRA,Mumbai,OTHER EDUCATIONAL SERVICES N.E.C.,ERJ HOLDINGS B.V,Netherland,90.75,1.20,"Received in the
Company",
4,3EV INDUSTRIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of motor vehicles n.e.c.,REBATT LIMITED,HongKong,10.00,0.13,Received in the Company,
5,3i Infotech Limited,MAHARASHTRA,Thane,"Writing, modifying, testing of computer program to meet the
needs of a particular client excluding web-page designing",Harsh Dhar,UAE,0.17,0.00,"Received in the
company",
6,3TANDAI INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other human health activities n.e.c. (including independent
ambulance activities)",Food RX and AI INC,U.S.A,0.70,0.01,"Received in the
company",
7,"3TOP AVIATION SERVICES PRIVATE
LIMITED",TAMIL NADU,Chennai,"Other professional, scientific and technical activities n.e.c.",3Top Aviation Services Limited,"United
Kingdom",0.05,0.00,"Received in the
company",
8,91 Springboard Business Hub Pvt Ltd,DELHI,South Delhi,Management consultancy activities,SPRINGBOARD SOLUTIONS PRIVATE LIMITED,Singapore,57.42,0.76,"Received in the
Company",
9,91 Springboard Business Hub Pvt Ltd,DELHI,South Delhi,Management consultancy activities,SPRINGBOARD SOLUTION PRIVATE LIMITED,Singapore,22.56,0.30,"Received in the
company",
10,99 ALGORITHMS PRIVATE LIMITED,DELHI,South West Delhi,Providing software support and maintenance to the clients,"Sole Proprietorship LLC Alfalaj Commercial Investment
Company",UAE,0.44,0.01,"Received in the
Company",
11,99 ALGORITHMS PRIVATE LIMITED,DELHI,South West Delhi,Providing software support and maintenance to the clients,"Sole Proprietorship LLC Alfalaj Commercial Investment
Company",UAE,25.41,0.34,"Received in the
Company",
12,AA ELECTRO MAGNETIC TEST LABORATORY PRIVATE LIMITED,HARYANA,Gurgaon,Technical testing and analysis,DENG CHENG KUANG,Taiwan,4.76,0.06,Received in the company,
13,"AA ELECTRO MAGNETIC TEST
LABORATORY PRIVATE LIMITED",HARYANA,Gurgaon,Technical testing and analysis,DENG CHENG KUANG,Taiwan,13.25,0.18,"Received in the
Company",
14,AA ELECTRO MAGNETIC TEST,HARYANA,Gurgaon,Technical testing and analysis,DENG CHENG KUANG,Taiwan,2.23,0.03,Received in the,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Investment Type,
,,,,,,,In Rs,In US$,,
,LABORATORY PRIVATE LIMITED,,,,,,,,company,
15,Aadhar Housing Finance Limited,KARNATAKA,Bengaluru,Other credit granting,BCP Topco VII Pte Ltd.,Singapore,5000.00,65.59,"Received in the
company",
16,AAIDEA SOLUTIONS PRIVATE LIMITED,HARYANA,Gurgaon,Wholesale of fruits & vegetables,KALAARI CAPITAL PARTNERS III LLC,Mauritius,17.89,0.23,"Received in the
company",
17,AAIDEA SOLUTIONS PRIVATE LIMITED,HARYANA,Gurgaon,Wholesale of fruits & vegetables,MAYFIELD INDIA II LTD,Mauritius,17.89,0.23,"Received in the
company",
