Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING APRIL 2020 TO JUNE 2020
(Amount in millions)",,,,,,,,,,
"Sr.
No.",Name of Indian Company,State,Location district),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs,In US$,,
1,"""CHEMIPRIME IMPEX PRIVATE LIMITED """,MAHARASHTRA,Mumbai,"Wholesale of solid, liquid and gaseous fuels and related
products",UNIPIAN HOLDINGS,UAE,0.05,0.00,Received in the Company,
2,91Streets Media Technologies Private Limited,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Eight Roads India Ventures III LP,Bermuda,21.61,0.29,Received in the company,
3,91Streets Media Technologies Private Limited,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Eight Roads India Ventures III LP,Bermuda,73.85,0.98,Received in the company,
4,"91Streets Media Technologies
Private Limited",MAHARASHTRA,Mumbai,"Other information technology and
computer service activities n.e.c","Bessemer India Capital
Holdings ll Ltd",Mauritius,73.85,0.97,"Received in the
Company",
5,"91Streets Media Technologies
Private Limited",MAHARASHTRA,Mumbai,"Other information technology and
computer service activities n.e.c","Bessemer India Capital
Holdings II Ltd",Mauritius,2.31,0.03,"Received in the
Company",
6,"91Streets Media Technologies
Private Limited",MAHARASHTRA,Mumbai,"Other information technology and
computer service activities n.e.c","Bessemer India Capital
Holdings II Ltd",Mauritius,43.85,0.58,"Received in the
Company",
7,"91Streets Media Technologies
Private Limited",MAHARASHTRA,Mumbai,"Other information technology and
computer service activities n.e.c","Bessemer India Capital
Holdings II Ltd",Mauritius,30.00,0.39,"Received in the
Company",
8,"91Streets Media Technologies
Private Limited",MAHARASHTRA,Mumbai,"Other information technology and
computer service activities n.e.c","Eight Roads India Ventures III
LP",Bermuda,2.10,0.03,"Received in the
company",
9,"91Streets Media Technologies
Private Limited",MAHARASHTRA,Mumbai,"Other information technology and
computer service activities n.e.c","Eight Roads India Ventures III
LP",Bermuda,42.80,0.57,"Received in the
company",
10,"91Streets Media Technologies
Private Limited",MAHARASHTRA,Mumbai,"Other information technology and
computer service activities n.e.c","F-Prime Capital Partners
Healthcare Fund V LP",U.S.A,35.04,0.46,"Received in the
company",
11,"AAA SALT AND CHEMICALS
PRIVATE LIMITED",GUJARAT,Surat,"Salt production by evaporation of
sea water or other saline waters","WEIFANG HUASAI TEXTILE PTE
LTD",Singapore,0.00,0.00,"Received in the
Company",
12,Aadhar Housing Finance Limited,KARNATAKA,Bengaluru,Other credit granting,BCP Topco VII Pte. Ltd.,Singapore,11.82,0.16,Received in the Company,
13,AAIDEA SOLUTIONS PRIVATE LIMITED,HARYANA,Gurgaon,Wholesale of fruits & vegetables,Mosam Gadia,UAE,1.60,0.02,Received in the Company,
14,ABSYZ SOFTWARE CONSULTING PRIVATE LIMITED,TELANGANA,Hyderabad,"Computer consultancy and computer facilities management
activities",Youngsoft Inc,U.S.A,11.75,0.16,Received in the Company,
15,ABSYZ SOFTWARE CONSULTING,TELANGANA,Hyderabad,Computer consultancy and,Youngsoft Inc,U.S.A,11.75,0.16,Received in the,
"Sr.
No.",Name of Indian Company,State,Location district),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs,In US$,,
,PRIVATE LIMITED,,,"computer facilities management
activities",,,,,Company,
16,ACHIREUM PRIVATE LIMITED,TAMIL NADU,Chennai,Tour operator activities,Viswanathan Arunachalam,U.S.A,0.05,0.00,"Received in the
Company",
17,ADANI ELECTRICITY MUMBAI LIMITED,GUJARAT,Ahmedabad,"Collection and distribution of electric energy to households, industrial, commercial and other
users n.e.c.",QATAR HOLDINGS LLC,Qatar,12096.22,158.67,Received in the Company,
18,"Adani Ports and Special
Economic Zone Limited",GUJARAT,Ahmedabad,"Cargo handling incidental to
water transport","Flourishing Trade and
Investment Ltd",Mauritius,141.90,1.86,"Received in the
Company",
19,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,Cargo handling incidental to water transport,Flourishing Trade and Investment Ltd,Mauritius,865.46,11.35,Received in the Company,
20,"Adani Ports and Special
Economic Zone Limited",GUJARAT,Ahmedabad,"Cargo handling incidental to
water transport","Flourishing Trade and
Investments Ltd",Mauritius,750.37,9.92,"Received in the
company",
21,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,Cargo handling incidental to water transport,Flourishing Trade and Investments Ltd,Mauritius,642.54,8.49,Received in the company,
22,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,Cargo handling incidental to water transport,Flourishing Trade and Investment Ltd,Mauritius,617.51,8.16,Received in the company,
23,"Adani Ports and Special
Economic Zone Limited",GUJARAT,Ahmedabad,"Cargo handling incidental to
water transport","Flourishing Trade and
Investment Ltd.",Mauritius,686.40,9.06,"Received in the
Company",
24,"Adani Ports and Special
Economic Zone Limited",GUJARAT,Ahmedabad,"Cargo handling incidental to
water transport","Flourishing Trade and
Investment Ltd.",Mauritius,522.86,6.90,"Received in the
Company",
25,"ADGLOBAL360 INDIA PRIVATE
LIMITED",DELHI,"North West
Delhi","Other data processing, hosting
and related activities n.e.c.","Hakuhodo Investment
Singapore Pte. Ltd.",Singapore,5.69,0.08,"Received in the
Company",
26,AEGIS LOGISTICS LIMITED,GUJARAT,Valsad,"Wholesale of solid, liquid and
gaseous fuels and related products",TRANS ASIA PETROLEUM INC,Mauritius,45.80,0.61,Received in the company,
27,AEROBIT LABS PRIVATE LIMITED,MAHARASHTRA,Pune,Manufacture of other medical and dental instruments n.e.c.,"Aerobit Health, Inc.",United Kingdom,0.09,0.00,Received in the Company,
28,AEROBIT LABS PRIVATE LIMITED,MAHARASHTRA,Pune,"Manufacture of other medical and
dental instruments n.e.c.","Aerobit Health, Inc.","United
Kingdom",0.01,0.00,"Received in the
Company",
29,ALLIANZ MARINE INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Renting and operational leasing of water-transport equipment
without operator","ALLIANZ MARINE AND LOGISTICS SERVICES HOLDING
LTD",UAE,1.57,0.02,Received in the company,
30,ALPINECODE PRIVATE LIMITED,TELANGANA,Hyderabad,"Other information technology and
computer service activities n.e.c",Six Wave Labs LLC,U.S.A,0.00,0.00,"Received in the
company",
31,ALPINECODE PRIVATE LIMITED,TELANGANA,Hyderabad,"Other information technology and
computer service activities n.e.c",Jason A Franzen,U.S.A,0.00,0.00,"Received in the
Company",
"Sr.
No.",Name of Indian Company,State,Location district),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs,In US$,,
32,"Altra Xergi Power Private
Limited",DELHI,"South West
Delhi","Electric power generation using
solar energy",O2 POWER SG PTE. LTD.,Singapore,0.01,0.00,"Received in the
Company",
