"Table No. 19 (c)
STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER RBI’s AUTOMATIC ROUTE
RECEIVED DURING JULY 2020 TO SEPTEMBER 2020
(Amount in millions)",,,,,,,,,,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs.,In US$,,
1,"1MG Technologies Private
Limited",DELHI,South West Delhi,"Other information service
activities n.e.c.","International Finance
Corporation",U.S.A,190.12,2.54,"Received in
the Company",
2,1MG Technologies Private Limited,DELHI,South West Delhi,Other information service activities n.e.c.,KWE Beteiligungen AG,Switzerland,380.25,5.07,Received in the Company,
3,1MG Technologies Private Limited,DELHI,South West Delhi,Other information service activities n.e.c.,MAF Mauritius Ltd.,Mauritius,133.89,1.79,Received in the Company,
4,"1MG Technologies Private
Limited",DELHI,South West Delhi,"Other information service
activities n.e.c.",MPOF Mauritius Ltd.,Mauritius,246.36,3.29,"Received in
the Company",
5,"1MG Technologies Private
Limited",DELHI,South West Delhi,"Other information service
activities n.e.c.","HBM Healthcare Investments
(Cayman) Limited","Cayman
Islands",380.25,5.07,"Received in
the Company",
6,3Analytics India Private Limited,MAHARASHTRA,Pune,"Other information
technology and computer service activities n.e.c",3Analytics Inc.,U.S.A,0.10,0.00,Received in the Company,
7,3C Itcians Private Limited,DELHI,East Delhi,"Other information
technology and computer service activities n.e.c",AMERICAN INFOTECH LLC,U.S.A,0.10,0.00,Received in the Company,
8,"3E Renewable Energy Software and Services Private
Limited",TAMILNADU,Kanchipuram,Wholesale of software,3E FRANCE,France,0.00,0.00,Received in the Company,
9,"3E Renewable Energy Software and Services Private
Limited",TAMILNADU,Kanchipuram,Wholesale of software,3E NV,Belgium,1.00,0.01,Received in the Company,
10,3F Fuji Foods Private Limited,TELANGANA,Mahabub Nagar,"Other semi-processed, processed or instant foods
n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar
powder etc. (this excludes",FUJI OIL HOLDINGS INC,Japan,381.93,5.11,Greenfield,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs.,In US$,,
,,,,the,,,,,,
11,"3WAYSTE BENGALURU
PRIVATE LIMITED",DELHI,South Delhi,"Collection of non-
hazardous waste",3WAYSTE,France,0.08,0.00,"Received in
the Company",
12,"4C SERWINGS PRIVATE
LIMITED","UTTAR
PRADESH",Ghaziabad,"Treatment and disposal of
non-hazardous waste",NITIN AGARWAL,U.S.A,0.37,0.00,"Received in
the company",
13,52N2W MACHINE TOOLS PRIVATE LIMITED,MAHARASHTRA,Thane,"Activities of commission agents dealing in wholesale trade in machinery and equipment, other than
transport machinery",J R MACHINES LTD,United Kingdom,2.79,0.04,Greenfield,
14,5D SOLUTIONS INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,"Computer consultancy and
computer facilities management activities",5TH DIMENSION SMART APPLICATIONS LTD,Jordan,1.00,0.01,Received in the company,
15,60 Decibels Impact Private Limited,KARNATAKA,Bengaluru,Other business support service activities n.e.c,60 Decibels Inc.,U.S.A,0.10,0.00,Received in the company,
16,6S PHARMA SOLUTIONS PRIVATE LIMITED,TELANGANA,Hyderabad,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and
plasmas; salicylic acid, its",Shilpa Proddutur,U.S.A,7.45,0.10,Received in the company,
17,"91 Springboard Business Hub
Pvt Ltd",DELHI,South Delhi,"Management consultancy
activities","SPRINGBOARD SOLUTIONS
PRIVATE LIMITED",Singapore,91.20,1.22,"Received in
the Company",
18,"91 Springboard Business Hub
Pvt Ltd",DELHI,South Delhi,"Management consultancy
activities","SPRINGBOARD SOLUTIONS
PRIVATE LIMITED",Singapore,112.11,1.50,"Received in
the Company",
19,91Streets Media Technologies Private Limited,MAHARASHTRA,Mumbai,"Other information
technology and computer service activities n.e.c",MacRitchie Investments Pte. Ltd.,Singapore,3743.84,49.92,Received in the Company,
20,99 ALGORITHMS PRIVATE LIMITED,DELHI,South West Delhi,"Providing software support and maintenance to the
clients","Sole Proprietorship LLC Alfalaj Commercial Investment
Company",UAE,18.86,0.26,Received in the company,
21,99 ALGORITHMS PRIVATE LIMITED,DELHI,South West Delhi,"Providing software support
and maintenance to the clients","Sole Proprietorship LLC Alfalaj
Commercial Investment Company",UAE,18.86,0.25,Received in the Company,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs.,In US$,,
22,"9F TECHNOLOGY INDIA
PRIVATE LIMITED",KARNATAKA,Bengaluru,"Data processing activities
including report writing",LAI HAN SHEONG,Malaysia,0.10,0.00,"Received in
the Company",
23,"9F TECHNOLOGY INDIA
PRIVATE LIMITED",KARNATAKA,Bengaluru,"Data processing activities
including report writing",LAI HAN SHEONG,Malaysia,0.00,0.00,"Received in
the Company",
24,A. O. Smith India Water Products Private Limited,KARNATAKA,Ramanagar,"Manufacture of domestic electrothermic appliances such as electric water heaters, space heaters, irons, ovens, toasters,
microwave ovens etc",A. O. Smith Holdings II B V,Netherland,262.50,3.52,Greenfield,
25,"A.T. KEARNEY CONSULTING
(INDIA) PRIVATE LIMITED",HARYANA,Gurgaon,"Management consultancy
activities",A.T. KEARNEY LIMITED,"United
Kingdom",0.10,0.00,"Received in
the Company",
26,A.T.E. HUBER Envirotech Private Limited,MAHARASHTRA,Mumbai,"Manufacture of filtering and purifying machinery or apparatus for liquids and
gases",HUBER SE,Germany,66.08,0.90,Received in the company,
27,AAIB INFRATEST INDIA PRIVATE LIMITED,GUJARAT,Vadodara,"Manufacture of physical
properties testing and inspection equipment",Infratest System GMBH,Germany,0.04,0.00,Greenfield,
28,"AAIDEA SOLUTIONS PRIVATE
LIMITED",HARYANA,Gurgaon,"Wholesale of fruits &
vegetables",Gopinath Latpate,U.S.A,74.96,1.00,"Received in
the Company",
29,Aarde Technosoft Private Limited,UTTAR PRADESH,Gautam Buddha Nagar,"Other information
technology and computer service activities n.e.c",Elara Technologies Pte Ltd,Singapore,50.27,0.67,Received in the Company,
