Table No.19 (a),,,,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER APPROVAL ROUTE
RECEIVED DURING JULY 2020 TO SEPTEMBER 2020
(Amount in millions)",,,,,,,,,,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Million),Amount (In US$ Million),Inv Type,
1,A.MENARINI INDIA PRIVATE LIMITED,GUJARAT,Ahmedabad,"Retail sale of pharmaceuticals, medical and orthopedic goods and toilet articles",A.Menarini Asia- Pacific PTE.,Singapore,80.00,1.07,Received in the Company,
2,AIRIS PHARMA PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,Research and experimental development on natural sciences and engineering,KISHORE KUMAR GANJI,U.S.A,10.50,0.14,Brownfield,
3,Akorn India Private Limited,HIMACHAL PRADESH,Sirmaur,Manufacture of allopathic pharmaceutical preparations,WORLDAKORN PHARMA MAURITIUS,Mauritius,20.21,0.27,Brownfield,
4,Akorn India Private Limited,HIMACHAL PRADESH,Sirmaur,Manufacture of allopathic pharmaceutical preparations,WORLDAKORN PHARMA MAURITIUS,Mauritius,37.50,0.50,Brownfield,
5,Datawave Networks Private Limited,MAHARASHTRA,Mumbai,Other telecommunications activities,Datawave Networks Limited,Cyprus,27.40,0.37,Received in the company,
6,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Kiran Talwar,United Kingdom,0.67,0.01,Received in the company,
7,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Aarti Sharma,United Kingdom,0.33,0.00,Received in the company,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Million),Amount (In US$ Million),Inv Type,
8,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Bagawatiswar Krishna Iyer,Singapore,4.59,0.06,Received in the company,
9,ICICI BANK LIMITED,GUJARAT,Vadodara,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Aarti Sharma,United Kingdom,0.33,0.00,Received in the Company,
10,KIKO COSMETICS RETAIL PVT LTD,DELHI,South Delhi,Retail sale of perfumery and cosmetic articles,Kiko International S.r.L,Italy,10.20,0.14,Received in the company,
11,LE CREUSET INDIA TRADING PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Retail sale of household utensils and cutlery, crockery, glassware, china and pottery",LE CREUSET SAS,France,20.00,0.27,Received in the Company,
12,LIGHTSTORM TELECOM CONNECTIVITY PRIVATE LIMITED,DELHI,North West Delhi,Other telecommunications activities,Asia Connectivity Pte Ltd,Singapore,80.00,1.09,Received in the company,
13,LIGHTSTORM TELECOM CONNECTIVITY PRIVATE LIMITED,DELHI,North West Delhi,Other telecommunications activities,Asia Connectivity Pte Ltd,Singapore,40.00,0.54,Received in the Company,
14,LIGHTSTORM TELECOM CONNECTIVITY PRIVATE LIMITED,DELHI,North West Delhi,Other telecommunications activities,Asia Connectivity Pte Ltd,Singapore,5.00,0.07,Received in the Company,
15,LIGHTSTORM TELECOM NETWORKS PRIVATE LIMITED,DELHI,North West Delhi,Other telecommunications activities,Asia Connectivity Pte Ltd,Singapore,1.00,0.01,Received in the Company,
16,MAAGRITA EXPORTS LIMITED,TAMIL NADU,Chennai,"Manufacture of sauces, jams, jellies and marmalades",TRANSGLOBAL TECHNOLOGIES INC,U.S.A,5.12,0.07,Received in the Company,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Million),Amount (In US$ Million),Inv Type,
17,READERS DIGEST BOOK AND HOME ENTERTAINMENT (INDIA) PRIVATE LIMITED,DELHI,Central Delhi,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc.","Trusted Media Brands Inc, USA",U.S.A,13.90,0.19,Received in the Company,
18,Reliance Paul & Shark Fashions Private Limited,MAHARASHTRA,Mumbai,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.",DAMA S.p.A,Italy,10.00,0.13,Received in the Company,
19,Reliance-Vision Express Private Limited,MAHARASHTRA,Mumbai,"Retail sale of photographic, optical and precision equipment",GrandVision India B.V.,Netherland,35.00,0.47,Received in the Company,
20,RELX INDIA PRIVATE LIMITED,DELHI,Central Delhi,"Publishing of books, brochures, leaflets and similar publications, including publishing encyclopedias (including on CD- ROM)",RELX OVERSEAS B.V.,Netherland,1000.00,13.39,Received in the Company,
21,TATA SIA AIRLINES LIMITED,DELHI,Central Delhi,Passenger airways,SINGAPORE AIRLINES LIMITED,Singapore,3675.00,49.22,Received in the Company,
22,Trent Hypermarket Private Limited,MAHARASHTRA,Mumbai,"Retail sale in non-specialized stores with food, beverages or tobacco predominating",TESCO Overseas Investments Limited,United Kingdom,450.00,6.00,Received in the Company,
23,Triguna Hospitality Ventures (India) Private Limited,DELHI,Central Delhi,Activities of holding companies,APHV INDIA INVESTCO. PRIVATE LIMITED,Singapore,61.20,0.82,Received in the Company,
24,Triguna Hospitality Ventures (India) Private Limited,DELHI,Central Delhi,Activities of holding companies,AAPC SINGAPORE PTE. LTD.,Singapore,54.40,0.73,Received in the Company,
,Grand Total,,,,,,5642.36,75.55,,
