Table No. 19 (c),,,,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS
UNDER RBI’s AUTOMATIC ROUTE
RECEIVED DURING APRIL 2021 TO JUNE 2021",,,,,,,,,,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,"Amount
(In Rs Million)","Amoun t (In
US$ Million)",Inv Type,
1,1 PLAY SPORTS INDIA DIGITAL PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Television programming and broadcasting
activities",1 PLAY SPORTS PTE LTD,Singapore,1.00,0.01,Received in the Company,
2,1MG Technologies Private Limited,DELHI,South West Delhi,"Other information
service activities n.e.c.",Koreaomega-Redwood Global Healthcare Fund,South Korea,90.45,1.23,"Received in
the Company",
3,1MG Technologies Private Limited,DELHI,South West Delhi,Other information service activities n.e.c.,MPOF Mauritius Ltd,Mauritius,7.19,0.10,Received in the Company,
4,1MG Technologies Private Limited,DELHI,South West Delhi,"Other information service activities
n.e.c.",KWE Beteiligungen AG,Switzerland,11.12,0.15,"Received in the
Company",
5,1MG Technologies Private Limited,DELHI,South West Delhi,Other information service activities n.e.c.,HBM Healthcare Investments (Cayman Ltd.),Cayman Islands,11.12,0.15,Received in the Company,
6,1MG Technologies Private Limited,DELHI,South West Delhi,"Other information service activities
n.e.c.",International Finance Corporation,U.S.A,5.16,0.07,"Received in the
Company",
7,1MG Technologies Private Limited,DELHI,South West Delhi,"Other information
service activities n.e.c.",MAF Mauritius Ltd,Mauritius,3.92,0.05,"Received in
the Company",
8,1MG Technologies Private Limited,DELHI,South West Delhi,Other information service activities n.e.c.,"IFC Emerging Asia Fund, LP",U.S.A,513.38,6.98,Received in the Company,
9,1PS SOFTWARE AND SUPPORT SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Chennai,Providing software support and maintenance to the clients,1PS Group Limited,United Kingdom,1.00,0.01,Received in the Company,
10,2 DEGREES CLICON PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,Materials recovery,IDEATION3X PRIVATE LIMITED,Singapore,15.12,0.20,Received in the Company,
11,360 HEALTH VECTORS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other human health activities n.e.c. (including
independent",ATUL JAIN,U.S.A,17.25,0.24,Received in the Company,
,,,,ambulance activities),,,,,,
12,360 HEALTH VECTORS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other human health activities n.e.c. (including independent ambulance
activities)",ATUL JAIN,U.S.A,12.41,0.17,Received in the Company,
13,360 RISING STRAITS MANAGEMENT PRIVATE LIMITED,HARYANA,Gurgaon,Management of other investment funds,RISING STRAITS HOLDING CO PTE.LTD,Singapore,0.25,0.00,Received in the Company,
