Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING APRIL 2021 TO JUNE 2021",,,,,,,,,,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Million),Amount (In US$ Million),Inv Type,
1,3PLANES SPORTSTECH PRIVATE LIMITED,MAHARASHTRA,Mumbai,Providing software support and maintenance to the clients,SURGE SPORTSTECH INC.,U.S.A,0.02,0.00,Received in the Company,
2,3PLANES SPORTSTECH PRIVATE LIMITED,MAHARASHTRA,Mumbai,Providing software support and maintenance to the clients,SURGE SPORTSTECH INC.,U.S.A,0.02,0.00,"Received
in the Company",
3,3Y3 DIGITAL LABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information service activities n.e.c.,"AUTOMATAD ,INC",U.S.A,5.00,0.07,Received in the Company,
4,A.S. Carehomes Private Limited,KERALA,Thiruvananthapuram,Residential care activities for the elderly and disabled,Sajan Janardhanan Pillai,U.S.A,8.86,0.12,"Received in the
Company",
5,AAG CENTRE FOR AVIATION TRAINING PRIVATE LIMITED,TAMIL NADU,Chennai,FLYING SCHOOL,Alpha Aviation Academy (Europe) Limited,United Kingdom,0.01,0.00,Received in the Company,
6,Aapoon Digital Private Limited,TELANGANA,Hyderabad,Computer consultancy and computer facilities management activities,AAPOON INC,U.S.A,0.75,0.01,Received in the Company,
7,"ABI-HEALTH
TECHNOLOGIES PRIVATE LIMITED",TAMIL NADU,Chennai,Other information technology and computer service activities n.e.c,BLUECAP MOBILE PRIVATE LIMITED,Singapore,7.00,0.10,"Received
in the Company",
8,ABI-HEALTH TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Chennai,Other information technology and computer service activities n.e.c,ATTUNE TECHNOLOGIES PTE LTD,Singapore,4.99,0.07,Received in the Company,
9,Accolite Digital India Private Limited,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,"Alloy DT, Inc.",U.S.A,181.50,2.47,"Received in the
Company",
10,Accolite Digital India Private Limited,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,"Alloy DT, Inc.",U.S.A,"3,236.51",44.00,Received in the Company,
11,Accolite Digital India Private Limited,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,"Alloy DT, Inc.",U.S.A,211.98,2.88,Received in the Company,
12,Accolite Digital India Private Limited,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,"Alloy DT, Inc.",U.S.A,181.50,2.47,"Received
in the Company",
13,Acidaes Solutions (P) Ltd.,DELHI,Central Delhi,Providing software support and maintenance to the clients,Avataar Holdings,Mauritius,70.36,0.96,Received in the Company,
