"Table No. 19 (c)
STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER RBI’s AUTOMATIC ROUTE
RECEIVED DURING JANUARY 2021 TO MARCH 2021",,,,,,,,,,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,"Amount
(In Rs Million)","Amount
(In US$ Million)",Inv Type,
1,ADANI INFRA (INDIA) LIMITED,GUJARAT,Gandhi Nagar,Construction and maintenance of power plants,Harmonia Trade And Investment Limited,Mauritius,36471.99,501.29,"Received in the
Company",
2,INDUSIND BANK LIMITED,MAHARASHTRA,Pune,"Monetary intermediation of commercial
banks, saving banks. postal savings bank and discount houses",INDUSIND INTERNATIONAL HOLDINGS LIMITED,Mauritius,14858.61,204.12,"Received in
the Company",
3,Phonepe Private Limited,DELHI,South Delhi,Activities auxiliary to financial service activities n.e.c.,Phonepe Private Limited,Singapore,11100.00,151.83,"Received in
the Company",
4,PEGATRON TECHNOLOGY INDIA PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Manufacture of other communication equipments n.e.c.,Pegatron Corporation,Taiwan,10448.96,143.54,Greenfield,
5,Zomato Private Limited,DELHI,South Delhi,Other information service activities n.e.c.,Kora Holdings II C LLC,Cayman Islands,8452.47,116.12,"Received in the
Company",
6,Zomato Private Limited,DELHI,South Delhi,Other information service activities n.e.c.,Internet Fund VI Pte. Ltd,Singapore,7599.85,103.95,Received in the Company,
7,CARS24 SERVICES PRIVATE LIMITED,HARYANA,Gurgaon,Wholesale and retail sale of used motor vehicles,GLOBAL CAR GROUP PTE LTD,Singapore,7353.00,100.58,Received in the Company,
8,INGKA CENTRES INDIA PRIVATE LIMITED,DELHI,South Delhi,Real estate activities with own or leased property,INGKA Centres India BV,Netherland,6999.30,96.15,"Received in the
Company",
9,Isuzu Motors India Private Limited,TAMIL NADU,Chennai,Manufacture of passenger cars,Isuzu Motors Limited,Japan,6200.00,84.80,Received in the Company,
10,Biocon Biologics Limited,KARNATAKA,Bengaluru,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs;
serums and plasmas; salicylic acid, its",Beta Oryx Limited,UAE,5549.94,76.24,Received in the Company,
11,INDUSIND BANK LIMITED,MAHARASHTRA,Pune,"Monetary intermediation of commercial banks, saving banks. postal savings bank and",INDUSIND LIMITED,Mauritius,5355.85,73.58,Received in the,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Million),Amount (In US$ Million),Inv Type,
,,,,discount houses,,,,,Company,
12,FLENDER DRIVES PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Manufacture of bearings, gears, gearing and driving elements",Flender GmbH,Germany,5099.90,69.76,Received in the Company,
13,ATLBattery Technology (India) Private Limited,HARYANA,IMT Bawal Rewari,"Manufacture of primary cells and primary batteries and rechargeable batteries, cells containing manganese oxide, mercuric oxide
silver oxide or other material",AMPEREX TECHNOLOGY (SINGAPORE) PTE. LTD.,Singapore,4900.00,67.31,Greenfield,
14,IMAGINE MARKETING PRIVATE LIMITED,MAHARASHTRA,Mumbai,Wholesale of other electronic equipments and parts thereof,South Lake Investment Ltd,Mauritius,4400.10,60.19,Received in the Company,
15,PB FINTECH PRIVATE LIMITED,HARYANA,Gurgaon,Other information service activities n.e.c.,FALCON Q LP,UAE,4242.31,58.28,"Received in
the Company",
16,Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to
higher education","T. Rowe Price Growth Stock Fund, Inc.",U.S.A,4143.89,56.68,Received in the Company,
17,READY ROTI INDIA PRIVATE LIMITED,RAJASTHAN,Alwar,Manufacture of bread,"Grupo Bimbo, S.A.B. DE C.V.",Mexico,3803.36,52.28,Received in the Company,
18,Isuzu Motors India Private Limited,TAMIL NADU,Chennai,Manufacture of passenger cars,Mitsubishi Corporation,Japan,3800.00,51.98,Received in the Company,
19,Zomato Private Limited,DELHI,South Delhi,Other information service activities n.e.c.,D1 Capital Partners Master LP,Cayman Islands,3799.77,51.97,"Received in the
Company",
20,Zomato Private Limited,DELHI,South Delhi,Other information service activities n.e.c.,Internet Fund VI Pte. Ltd,Singapore,3674.97,50.49,"Received in the
Company",
21,Sporta Technologies Private Limited,MAHARASHTRA,Mumbai,Other amusement and recreation activities n.e.c.,Dream Sports Inc,U.S.A,3603.64,49.53,Received in the Company,
22,KEIHIN INDIA MANUFACTURING PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,"Manufacture of motor vehicle electrical equipment, such as generators, alternators, spark plugs,ignition wiring harnesses, power window and door systems, assembly of purchased gauges into instrument panels,
voltage regulators etc",KEIHIN ASIA BANGKOK CO. LTD.,Thailand,3600.00,49.24,GreenField,
23,"ZETWERK
MANUFACTURING BUSINESSES PRIVATE",KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Greenoaks Capital MS LP - Gotham Light and Power Series,U.S.A,3532.42,48.55,"Received in
the Company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Million),Amount (In US$ Million),Inv Type,
,LIMITED,,,,,,,,,
24,NTT GLOBAL DATA CENTERS BOM8 PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other data processing, hosting and related activities n.e.c.",NTT GLOBAL DATA CENTERS HOLDING ASIA BOM8 PTE LTD,Singapore,3453.97,47.24,BrownField,
25,Home Credit India Finance Private Limited,HARYANA,Gurgaon,Other credit granting,Home Credit India BV,Netherland,3146.27,43.04,"Received in
the Company",
26,"International Cargo Terminals And Infrastructure Private
Limited",MAHARASHTRA,Mumbai,Other land transport services n.e.c,Integral Investments South Asia VIII,Mauritius,3099.95,42.40,Received in the Company,
27,Hella Infra Market Limited,MAHARASHTRA,Thane,"Wholesale of construction materials (sand, gravel etc.)",Internet Fund V Pte. Ltd.,Singapore,2911.80,40.00,"Received in
the Company",
28,LIBERTY STEEL INDIA LIMITED,MAHARASHTRA,THANE,Activities of head offices,Liberty AM Holdings (UK) Limited,United Kingdom,2905.67,39.94,"Received in
the Company",
29,HIVELOOP TECHNOLOGY PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other data processing, hosting and related activities n.e.c.",Trustroot Internet Pte Ltd,Singapore,2895.86,39.78,Received in the Company,
30,STAR INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Television programming and broadcasting activities,Buzzer Investments Limited,Mauritius,2864.30,39.35,Received in the Company,
31,"DREAMPLUG
TECHNOLOGIES PRIVATE LIMITED",MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,DST ASIA VII,Mauritius,2587.54,35.56,"Received in
the Company",
32,KISETSU SAISON FINANCE INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other credit granting,CREDIT SAISON CO LTD,Japan,2500.00,34.34,"Received in the
Company",
33,Amazon Pay (India) Private Limited,KARNATAKA,Bengaluru,Activities auxiliary to financial service activities n.e.c.,AMAZON CORPORATE HOLDINGS PRIVATE LIMITED,Singapore,2249.78,30.91,Received in the Company,
34,VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,GOOGLE INTERNATIONAL LLC,U.S.A,2217.43,30.46,"Received in the
Company",
35,"WM Global Technology Services India Private
Limited",KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular
client excluding web-page designing",M/s Walmart India MMVIII LLC,U.S.A,2158.35,29.65,"Received in the
Company",
