"Table No. 19 (c)
STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER RBI’s AUTOMATIC ROUTE
RECEIVED DURING OCTOBER 2021 TO DECEMBER 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In INR),Amount (In USD),Inv Type
1,Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to higher education",Epic Creations Aggregator,U.S.A,"29,75,32,60,493.3600",399391387.4257,Received in the Company
2,FORD INDIA PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Manufacture of passenger cars,FORD MOTOR COMPANY,U.S.A,"29,00,00,00,000.0000",389280033.2902,Received in the Company
3,FORD INDIA PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Manufacture of passenger cars,FORD MOTOR COMPANY,U.S.A,"21,75,00,00,000.0000",290327876.949,Received in the company
4,BILLIONBRAINS GARAGE VENTURES PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,GROWW INC,U.S.A,"18,74,60,77,969.9200",251637029.5238,Received in the Company
5,Amazon Seller Services Private Limited,KARNATAKA,Bengaluru,Wholesale of other electronic equipments and parts thereof,AMAZON CORPORATE HOLDINGS PRIVATE LIMITED,Singapore,"14,59,93,25,480.0000",195973307.2024,Received in the Company
6,Amazon Data Services India Private Limited,DELHI,South Delhi,Data processing activities including report writing,"A100 ROW, INC",U.S.A,"10,84,05,00,000.0000",145516903.4787,Received in the Company
7,REBEL FOODS PRIVATE LIMITED,MAHARASHTRA,Pune,"Cafeterias, fast-food restaurants and other food preparation in market stalls",INQ Holding LLC,UAE,"9,39,56,46,216.0800",126121981.7855,Received in the Company
8,OFB TECH PRIVATE LIMITED,DELHI,South West Delhi,Other non-specialised wholesale trade n.e.c.,INTERNET FUND VII PTE. LTD.,Singapore,"9,20,66,35,517.1000",123584806.2271,Received in the Company
9,DAIMLER TRUCK INNOVATION CENTER INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,RESEARCH AND EXPERIMENTAL DEVELOPMENT ON NATURAL SCIENCES AND ENGINEERING,Daimler Truck AG,Germany,"8,80,64,32,920.0000",116838806.1959,Received in the company
