Table No.19 (a),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER APPROVAL ROUTE
RECEIVED DURING OCTOBER 2021 TO DECEMBER 2021",,,,,,,,,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In INR),Amount (In USD),Inv Type
1,ANCHORAGE INFRASTRUCTURE INVESTMENTS HOLDINGS LIMITED,MAHARASHTRA,Mumbai,Activities of holding companies,FIH MAURITIUS INVESTMENTS LTD,Mauritius,"60,56,65,21,740.0000",808466651.5385,Received in the company
2,ANCHORAGE INFRASTRUCTURE INVESTMENTS HOLDINGS LIMITED,MAHARASHTRA,Mumbai,Activities of holding companies,FIH MAURITIUS INVESTMENTS LTD,Mauritius,"21,90,64,78,260.0000",292416612.6279,Received in the company
3,Fresenius Kabi Oncology Limited,DELHI,South West Delhi,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Fresenius Kabi (Singapore) Pte Ltd,Singapore,"4,53,87,99,993.6000",60926352.1588,Received in the Company
4,Amazon Retail India Private Limited,DELHI,South Delhi,"Retail sale of cereals and pulses, tea, coffee, spices and flour",AMAZON CORPORATE HOLDINGS PRIVATE LIMITED,Singapore,"2,52,94,50,000.0000",33953944.145,Received in the Company
5,"LIGHTSTORM TELECOM CONNECTIVITY
PRIVATE LIMITED",DELHI,North West Delhi,Other telecommunications activities,Asia Connectivity Pte Ltd,Singapore,"85,77,96,902.0000",11380767.5478,Received in the company
6,"HEALTHIFYME WELLNESS PRIVATE
LIMITED",KARNATAKA,Bengaluru,Other residential care activities n.e.c.,HealthifyMe Pte.Ltd.,Singapore,"74,17,76,760.0000",9957202.8216,"Received in the
Company"
7,Hindustan Infralog Private Limited,MAHARASHTRA,Mumbai,Activities of holding companies,DP World Global Investment B.V.,Netherland,"48,75,00,000.0000",6467876.2148,"Received in the
company"
8,MASAYA SOLAR ENERGY PRIVATE LIMITED,HARYANA,Gurgaon,Electric power generation using solar energy,AC Energy HK Limited,Hong Kong,"21,56,12,190.0000",2860621.4468,Received in the company
