"Table No. 19 (c)
STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER RBI’s AUTOMATIC ROUTE
RECEIVED DURING APRIL 2022 TO JUNE 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In INR),Amount (In USD),Inv Type
1,ADANI ENTERPRISES LIMITED,GUJARAT,Ahmedabad,"Wholesale of solid, liquid and gaseous fuels and related products",Green Enterprises Investment Holding RSC Limited,UAE,"77,00,00,00,152.3000",995870373.2742,Received in the company
2,Adani Green Energy Limited,GUJARAT,Ahmedabad,"Electric power generation using solar
energy",Green Energy Investment Holding RSC Limited,UAE,"38,49,99,99,303.5000",497935176.6441,"Received in the
company"
3,Adani Transmission Limited,GUJARAT,Ahmedabad,Transmission of electric energy,Green Transmission Investment Holding RSC Limited,UAE,"38,49,99,98,870.0000",497935171.0375,Received in the company
4,"Amazon Data Services India Private
Limited",DELHI,South Delhi,"Data processing activities including
report writing","A100 ROW, INC.",U.S.A,"28,58,62,50,000.0000",375306231.7672,"Received in the
company"
5,Vodafone Idea Limited,GUJARAT,Gandhi Nagar,"Activities of maintaining and operating paging, cellular and other telecommunication networks",Euro Pacific Securities Ltd.,Mauritius,"26,15,62,49,995.4000",343402986.5035,Received in the company
6,Tata Passenger Electric Mobility Ltd,MAHARASHTR A,Mumbai,Manufacture of passenger cars,TPG Rise Climate Topgun Pte. Ltd.,Singapore,"25,00,00,00,000.0000",328222687.2773,Received in the company
7,VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",CPP INVESTMENT BOARD PRIVATE HOLDINGS (4) INC,Canada,"17,78,51,92,831.2300",233500151.3925,Received in the company
8,RAIDEN INFOTECH INDIA PRIVATE,MAHARASHTR A,Mumbai,Other information technology and,Raiden APAC Pte. Ltd.,Singapore,"16,00,00,00,000.0000",206934103.1282,Received in the
,,,,,,,,,
,LIMITED,,,computer service activities n.e.c,,,,,company
