Table No.19 (a),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER APPROVAL ROUTE
RECEIVED DURING APRIL 2022 TO JUNE 2022",,,,,,,,,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In INR),Amount (In USD),Inv Type
1,Pfizer Healthcare India Private Limited,TAMIL NADU,Kanchipuram,Manufacture of allopathic pharmaceutical preparations,HOSPIRA PTE LTD,Singapore,"11,54,86,70,490.0000",149363360.6357,"Received in the
company"
2,Bharat Serums and Vaccines Limited,MAHARASHTRA,Mumbai,"MANUFACTURE OF MEDICINAL SUBSTANCES USED IN THE MANUFACTURE OF PHARMACEUTICALS: ANTIBIOTICS, ENDOCRINE PRODUCTS, BASIC VITAMINS; OPIUM DERIVATIVES; SULPHA DRUGS; SERUMS AND PLASMAS; SALICYLIC ACID, ITS SALTS AND ESTERS; GLYCOSIDES AND
VEGETABLE ALKALOIDS;",Ansamira Limited,Cyprus,"4,73,07,52,300.0000",60592719.0149,Received in the company
3,Amazon Retail India Private Limited,DELHI,South Delhi,"Retail sale of cereals and pulses, tea, coffee, spices and flour","AMAZON CORPORATE HOLDINGS PRIVATE
LIMITED",Singapore,"2,97,00,00,000.0000",38992855.2485,"Received in the
company"
4,Biogenomics Limited,TAMIL NADU,Chennai,Research and experimental development on natural sciences and engineering,EAGLE ASIA HOLDING LTD,Mauritius,"1,64,12,99,100.0000",21227547.3265,Received in the company
5,"CRONUS PHARMA SPECIALITIES INDIA
PRIVATE LIMITED",TELANGANA,K.V.Rangareddy,Manufacture of allopathic pharmaceutical preparations,"Cronus Pharma, Mauritius",Mauritius,"1,52,77,47,705.0000",19758943.8213,"Received in the
company"
6,GATX INDIA PVT LTD,DELHI,Central Delhi,"Renting and operational leasing, without operator, of other machinery and equipment that are generally
used as capital goods by industries",GATX GLOBAL FINANCE B.V,Netherland,"1,50,00,00,000.0000",19212394.2998,Received in the company
7,Bharat Serums and Vaccines Limited,MAHARASHTRA,Mumbai,"MANUFACTURE OF MEDICINAL SUBSTANCES USED IN THE MANUFACTURE OF PHARMACEUTICALS: ANTIBIOTICS, ENDOCRINE PRODUCTS, BASIC VITAMINS; OPIUM DERIVATIVES;
SULPHA DRUGS; SERUMS AND",Miransa Limited,Cyprus,"1,18,67,18,600.0000",15199803.7774,Received in the company
,,,,"PLASMAS; SALICYLIC ACID, ITS SALTS AND ESTERS; GLYCOSIDES AND
VEGETABLE ALKALOIDS;",,,,,
8,Biogenomics Limited,TAMIL NADU,Chennai,"Research and experimental development on natural sciences and
engineering","MOHAMMED AL BARWANI
INVESTMENT LLC",Oman,"95,00,63,184.0000",12473291.6534,"Received in the
company"
9,"India Ports & Logistics Private
Limited",MAHARASHTRA,Mumbai,Inland freight water transport,Bollore Africa Logistics,France,"71,78,64,776.2800",9194600.7572,"Received in the
company"
10,"LIGHTSTORM TELECOM CONNECTIVITY
PRIVATE LIMITED",DELHI,North West Delhi,Other telecommunications activities,Asia Connectivity Pte Ltd,Singapore,"52,08,57,950.0000",6736454.5463,Received in the company
11,EXCITEL BROADBAND PRIVATE LIMITED,DELHI,South Delhi,"Activities of providing internet access by the operator of the wired
infrastructure",Excitel International B.V.,Netherland,"50,40,00,000.0000",6616969.3755,"Received in the
company"
12,Trent Hypermarket Private Limited,MAHARASHTRA,Mumbai,"Retail sale in non-specialized stores with food, beverages or tobacco
predominating",TESCO Overseas Investments Limited,United Kingdom,"39,02,18,485.9000",4998020.9428,"Received in the
company"
13,"JIANGYIN UNI-POL VACUUM CASTING INDIA PRIVATE
LIMITED",MAHARASHTRA,Pune,"Manufacture of other pumps, compressors, taps and valves etc.",Jiangyin Uni-Pol Co.Ltd.,China,"36,50,45,948.7600",4721278.5005,Received in the company
14,ALPHAMED FORMULATIONS PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its",Aspen Pharmacare Holdings Ltd,South Africa,"20,95,29,600.0000",2683710.1951,Received in the company
15,"MASAYA SOLAR ENERGY PRIVATE
LIMITED",HARYANA,Gurgaon,Electric power generation using solar energy,AC Energy HK Limited,Hong Kong,"15,77,46,790.0000",2071043.0129,"Received in the
company"
